Frame;Tiempo;ID_Bola;Estatus;Posicion_Bola_x;Posicion_Bola_y;Posicion_Bola_z
4070;0.3352;1;En movimiento;9.2075;1.2707;-0.1342
4075;0.4226;1;En movimiento;9.6684;1.2916;-0.1684
4080;0.5019;1;En movimiento;10.0563;1.3086;-0.1971
4085;0.5760;1;En movimiento;10.4296;1.3396;-0.2248
4090;0.6480;1;En movimiento;10.7914;1.3421;-0.2517
4095;0.7183;1;En movimiento;11.1404;1.3579;-0.2776
4100;0.7887;1;En movimiento;11.4917;1.3740;-0.3036
4105;0.8586;1;En movimiento;11.8376;1.3897;-0.3293
4110;0.9280;1;En movimiento;12.1873;1.4058;-0.3553
4115;0.9975;1;En movimiento;12.5337;1.4217;-0.3810
4120;1.0670;1;En movimiento;12.8823;1.4378;-0.4068
4125;1.1366;1;En movimiento;13.2285;1.4539;-0.4325
4130;1.2066;1;En movimiento;13.5770;1.4701;-0.4584
4135;1.2763;1;En movimiento;13.9245;1.4864;-0.4842
4140;1.3454;1;En movimiento;14.2728;1.5523;-0.5100
4142;1.3736;1;Parada;14.4787;1.6150;-0.5253
4215;2.3940;2;En movimiento;7.6484;1.1673;-0.9660
4220;2.4597;2;En movimiento;8.0522;1.1591;-0.9431
4225;2.5296;2;En movimiento;8.4614;1.1503;-0.9199
4230;2.5991;2;En movimiento;8.8679;1.1415;-0.8968
4235;2.6691;2;En movimiento;9.2732;1.1328;-0.8738
4240;2.7386;2;En movimiento;9.6803;1.1241;-0.8507
4245;2.8083;2;En movimiento;10.0854;1.1156;-0.8278
4250;2.8778;2;En movimiento;10.4916;1.1071;-0.8047
4255;2.9483;2;En movimiento;10.8998;1.0987;-0.7816
4260;3.0175;2;En movimiento;11.3079;1.0903;-0.7584
4265;3.0871;2;En movimiento;11.7132;1.0820;-0.7354
4270;3.1567;2;En movimiento;12.1198;1.0738;-0.7124
4275;3.2265;2;En movimiento;12.5254;1.0657;-0.6894
4280;3.2957;2;En movimiento;12.9351;1.1007;-0.6661
4285;3.3658;2;En movimiento;13.3403;1.0958;-0.6431
4290;3.4343;2;En movimiento;13.7423;1.0422;-0.6203
4290;3.4343;3;En movimiento;5.0986;1.1541;-0.5322
4295;3.5044;2;En movimiento;14.1522;1.0344;-0.5971
4295;3.5044;3;En movimiento;5.4956;1.1491;-0.4912
4296;3.5187;2;Parada;14.3142;1.1377;-0.5879
4300;3.5745;3;En movimiento;5.8903;1.1442;-0.4503
4305;3.6438;3;En movimiento;6.2811;1.1392;-0.4099
4310;3.7134;3;En movimiento;6.6752;1.1344;-0.3691
4315;3.7833;3;En movimiento;7.0696;1.1297;-0.3283
4320;3.8532;3;En movimiento;7.4624;1.1250;-0.2876
4325;3.9227;3;En movimiento;7.8556;1.1203;-0.2470
4330;3.9923;3;En movimiento;8.2494;1.1158;-0.2062
4335;4.0618;3;En movimiento;8.6440;1.1113;-0.1654
4340;4.1314;3;En movimiento;9.0386;1.1069;-0.1245
4345;4.2009;3;En movimiento;9.4285;1.1414;-0.0842
4350;4.2707;3;En movimiento;9.8252;1.1403;-0.0432
4355;4.3403;3;En movimiento;10.2188;1.1392;-0.0024
4360;4.4099;3;En movimiento;10.6122;1.1382;0.0383
4365;4.4795;3;En movimiento;11.0052;1.0865;0.0789
4370;4.5489;3;En movimiento;11.4012;1.0825;0.1199
4370;4.5489;4;En movimiento;5.0574;1.1590;-1.8264
4375;4.6192;3;En movimiento;11.7920;1.0785;0.1604
4375;4.6192;4;En movimiento;5.4912;1.1697;-1.7213
4380;4.6888;3;En movimiento;12.1867;1.0746;0.2012
4380;4.6888;4;En movimiento;5.9294;1.1806;-1.6151
4385;4.7587;3;En movimiento;12.5793;1.0708;0.2418
4385;4.7587;4;En movimiento;6.3652;1.1915;-1.5095
4390;4.8284;3;En movimiento;12.9760;1.0671;0.2829
4390;4.8284;4;En movimiento;6.8056;1.2027;-1.4028
4395;4.8980;3;En movimiento;13.3687;1.0634;0.3235
4395;4.8980;4;En movimiento;7.2415;1.2137;-1.2972
4400;4.9677;3;En movimiento;13.7612;1.0597;0.3641
4400;4.9677;4;En movimiento;7.6773;1.2248;-1.1916
4405;5.0372;3;En movimiento;14.1580;1.0562;0.4052
4405;5.0372;4;En movimiento;8.1178;1.2361;-1.0848
4406;5.0515;3;Parada;14.3147;1.2081;0.4255
4410;5.1066;4;En movimiento;8.5578;1.2476;-0.9782
4415;5.1767;4;En movimiento;8.9903;1.2587;-0.8734
4420;5.2464;4;En movimiento;9.4305;1.2703;-0.7667
4425;5.3166;4;En movimiento;9.8686;1.2818;-0.6605
4430;5.3869;4;En movimiento;10.3085;1.2935;-0.5539
4435;5.4565;4;En movimiento;10.7450;1.3051;-0.4482
4440;5.5260;4;En movimiento;11.1833;1.3644;-0.3419
4445;5.5960;4;En movimiento;11.6192;1.3792;-0.2363
4450;5.6649;4;En movimiento;12.0594;1.3942;-0.1296
4455;5.7351;4;En movimiento;12.4959;1.4091;-0.0239
4460;5.8039;4;En movimiento;12.9324;1.3650;0.0819
4465;5.8738;4;En movimiento;13.3700;1.3770;0.1880
4470;5.9438;4;En movimiento;13.8044;1.3889;0.2932
4475;6.0133;4;En movimiento;14.2389;1.4009;0.3985
4477;6.0411;4;Parada;14.4939;1.5651;0.4854
4480;6.0818;5;En movimiento;8.0064;1.1675;0.1294
4485;6.1527;5;En movimiento;8.4902;1.1947;0.1658
4490;6.2223;5;En movimiento;8.9871;1.2231;0.2031
4495;6.2920;5;En movimiento;9.4820;1.2514;0.2403
4500;6.3613;5;En movimiento;9.9752;1.2796;0.2773
4505;6.4312;5;En movimiento;10.4710;1.3081;0.3146
4510;6.5005;5;En movimiento;10.9647;1.3586;0.3517
4515;6.5705;5;En movimiento;11.4606;1.3905;0.3889
4520;6.6397;5;En movimiento;11.9510;1.3942;0.4257
4525;6.7097;5;En movimiento;12.4489;1.4542;0.4631
4530;6.7788;5;En movimiento;12.9386;1.4515;0.4999
4535;6.8483;5;En movimiento;13.4305;1.4801;0.5369
4540;6.9187;5;En movimiento;13.9232;1.5088;0.5739
4545;6.9880;5;En movimiento;14.4166;1.5377;0.6110
4545;6.9880;5;Parada;14.5171;1.6330;0.6185
4615;7.9628;6;En movimiento;17.6300;0.0500;0.0000
4620;8.0324;6;En movimiento;5.4667;1.1795;-1.2309
4625;8.1019;6;En movimiento;5.9997;1.1972;-1.0978
4630;8.1717;6;En movimiento;6.5265;1.2148;-0.9663
4635;8.2411;6;En movimiento;7.0559;1.2325;-0.8341
4640;8.3112;6;En movimiento;7.5867;1.2504;-0.7015
4645;8.3804;6;En movimiento;8.1166;1.2884;-0.5692
4650;8.4496;6;En movimiento;8.6446;1.2868;-0.4374
4655;8.5195;6;En movimiento;9.1752;1.3049;-0.3049
4660;8.5894;6;En movimiento;9.7055;1.3230;-0.1724
4665;8.6591;6;En movimiento;10.2326;1.3411;-0.0408
4670;8.7285;6;En movimiento;10.7610;1.3592;0.0911
4675;8.7982;6;En movimiento;11.2920;1.3776;0.2237
4680;8.8678;6;En movimiento;11.8219;1.3959;0.3560
4685;8.9372;6;En movimiento;12.3522;1.4144;0.4884
4690;9.0064;6;En movimiento;12.8867;1.4331;0.6219
4690;9.0064;7;En movimiento;7.8908;1.1543;3.1063
4695;9.0764;6;En movimiento;13.4115;1.4514;0.7529
4695;9.0764;7;En movimiento;8.3693;1.1454;2.9119
4700;9.1460;6;En movimiento;13.9419;1.5249;0.8854
4700;9.1460;7;En movimiento;8.8529;1.1455;2.7154
4703;9.1881;6;Parada;14.3662;1.5993;0.9913
4705;9.2161;7;En movimiento;9.3326;1.1401;2.5205
4710;9.2854;7;En movimiento;9.8182;1.1347;2.3232
4715;9.3553;7;En movimiento;10.2984;1.1110;2.1281
4720;9.4243;7;En movimiento;10.7839;1.1025;1.9309
4725;9.4942;7;En movimiento;11.2666;1.0939;1.7347
4730;9.5638;7;En movimiento;11.7474;1.0855;1.5394
4735;9.6335;7;En movimiento;12.2337;1.0771;1.3418
4740;9.7032;7;En movimiento;12.7152;1.0688;1.1462
4745;9.7730;7;En movimiento;13.1984;1.0605;0.9499
4750;9.8423;7;En movimiento;13.6843;1.0523;0.7525
4755;9.9121;7;En movimiento;14.1631;1.0442;0.5580
4757;9.9399;7;Parada;14.4518;1.1390;0.4628
4830;10.9562;8;En movimiento;8.2164;1.1737;0.1630
4835;11.0262;8;En movimiento;8.8491;1.1796;0.1442
4840;11.0954;8;En movimiento;9.4693;1.1949;0.1259
4845;11.1652;8;En movimiento;10.1007;1.2042;0.1072
4850;11.2351;8;En movimiento;10.7291;1.2135;0.0885
4855;11.3043;8;En movimiento;11.3534;1.2038;0.0700
4860;11.3742;8;En movimiento;11.9733;1.2097;0.0517
4865;11.4434;8;En movimiento;12.5998;1.2158;0.0331
4870;11.5129;8;En movimiento;13.2227;1.2219;0.0146
4875;11.5827;8;En movimiento;13.8503;1.2281;-0.0040
4879;11.6385;8;Parada;14.4349;1.3156;-0.0463
4950;12.6265;9;En movimiento;7.8725;1.1748;-0.8212
4955;12.6970;9;En movimiento;8.5115;1.2204;-0.7507
4960;12.7661;9;En movimiento;9.1619;1.2751;-0.6789
4965;12.8359;9;En movimiento;9.8057;1.3247;-0.6079
4970;12.9051;9;En movimiento;10.4508;1.3743;-0.5368
4975;12.9754;9;En movimiento;11.0971;1.4242;-0.4655
4980;13.0443;9;En movimiento;11.7386;1.4530;-0.3947
4985;13.1141;9;En movimiento;12.3801;1.4993;-0.3240
4990;13.1838;9;En movimiento;13.0271;1.5461;-0.2526
4995;13.2538;9;En movimiento;13.6684;1.5924;-0.1819
5000;13.3233;9;En movimiento;14.2357;1.7684;-0.1446
5001;13.3369;9;Parada;14.5643;1.8120;-0.1003
5070;14.3006;10;En movimiento;5.0703;1.1696;-0.0171
5075;14.3674;10;En movimiento;5.7196;1.2038;0.0137
5080;14.4370;10;En movimiento;6.3669;1.2379;0.0444
5085;14.5066;10;En movimiento;7.0165;1.2722;0.0752
5090;14.5760;10;En movimiento;7.6646;1.3208;0.1059
5095;14.6457;10;En movimiento;8.3116;1.3585;0.1365
5100;14.7154;10;En movimiento;8.9582;1.3961;0.1672
5105;14.7851;10;En movimiento;9.6072;1.4340;0.1979
5110;14.8547;10;En movimiento;10.2543;1.4451;0.2286
5115;14.9238;10;En movimiento;10.9022;1.4798;0.2593
5120;14.9939;10;En movimiento;11.5472;1.5143;0.2898
5125;15.0636;10;En movimiento;12.1952;1.5491;0.3205
5130;15.1328;10;En movimiento;12.8421;1.5839;0.3512
5135;15.2027;10;En movimiento;13.4969;1.6193;0.3822
5140;15.2725;10;En movimiento;14.1466;1.6544;0.4130
5141;15.2866;10;Parada;14.4062;1.7630;0.4253
5145;15.3413;11;En movimiento;8.6869;1.1513;-2.5213
5150;15.4112;11;En movimiento;9.2948;1.1401;-2.2395
5155;15.4809;11;En movimiento;9.8954;1.1383;-1.9611
5160;15.5506;11;En movimiento;10.5002;1.1305;-1.6807
5165;15.6207;11;En movimiento;11.1046;1.1228;-1.4005
5170;15.6901;11;En movimiento;11.7080;1.0963;-1.1208
5175;15.7598;11;En movimiento;12.3108;1.0854;-0.8414
5180;15.8291;11;En movimiento;12.9148;1.0745;-0.5614
5185;15.8985;11;En movimiento;13.5215;1.0637;-0.2802
5190;15.9687;11;En movimiento;14.0481;1.0695;-0.0016
5191;15.9829;11;Parada;14.3263;1.1248;0.1410
5260;16.9432;12;En movimiento;5.0456;1.1657;-1.5069
5265;17.0128;12;En movimiento;5.7167;1.1579;-1.4448
5270;17.0821;12;En movimiento;6.4133;1.1512;-1.3802
5275;17.1521;12;En movimiento;7.1064;1.1446;-1.3160
5280;17.2217;12;En movimiento;7.8046;1.1380;-1.2513
5285;17.2913;12;En movimiento;8.5035;1.1316;-1.1865
5290;17.3608;12;En movimiento;9.1991;1.1468;-1.1220
5295;17.4306;12;En movimiento;9.8940;1.1437;-1.0576
5300;17.4997;12;En movimiento;10.5933;1.1133;-0.9928
5305;17.5701;12;En movimiento;11.2972;1.1378;-0.9276
5310;17.6393;12;En movimiento;11.9916;1.1010;-0.8632
5315;17.7093;12;En movimiento;12.6904;1.0950;-0.7985
5320;17.7786;12;En movimiento;13.3868;1.0890;-0.7339
5325;17.8488;12;En movimiento;14.0809;1.0831;-0.6696
5326;17.8625;12;Parada;14.3615;1.1704;-0.6436
5395;18.8238;13;En movimiento;8.2767;1.1457;-2.8156
5400;18.8928;13;En movimiento;8.8960;1.1364;-2.4746
5405;18.9623;13;En movimiento;9.5466;1.1283;-2.1164
5410;19.0322;13;En movimiento;10.1916;1.1202;-1.7612
5415;19.1017;13;En movimiento;10.8410;1.1122;-1.4037
5420;19.1713;13;En movimiento;11.4923;1.1043;-1.0451
5425;19.2409;13;En movimiento;12.1375;1.1180;-0.6899
5430;19.3106;13;En movimiento;12.7868;1.1134;-0.3324
5435;19.3798;13;En movimiento;13.4326;1.0815;0.0232
5440;19.4494;13;En movimiento;14.0802;1.0739;0.3797
5445;19.5192;13;En movimiento;14.7280;1.0662;0.7364
5450;19.5889;13;En movimiento;15.3756;1.0587;1.0930
5453;19.6315;13;Gol;19.0000;-2.1178;0.0000
5465;19.8008;14;En movimiento;17.6300;0.0633;0.0000
5470;19.8673;14;En movimiento;5.5241;1.1421;-1.5914
5475;19.9370;14;En movimiento;6.2670;1.1341;-1.4665
5480;20.0068;14;En movimiento;7.0086;1.1262;-1.3417
5485;20.0762;14;En movimiento;7.7439;1.1183;-1.2181
5490;20.1458;14;En movimiento;8.4852;1.1273;-1.0934
5495;20.2152;14;En movimiento;9.2251;1.1229;-0.9690
5500;20.2850;14;En movimiento;9.9665;1.1185;-0.8443
5505;20.3544;14;En movimiento;10.7062;1.0881;-0.7199
5510;20.4240;14;En movimiento;11.4459;1.0806;-0.5955
5515;20.4938;14;En movimiento;12.1808;1.0731;-0.4719
5520;20.5633;14;En movimiento;12.9231;1.0657;-0.3471
5525;20.6331;14;En movimiento;13.6635;1.0584;-0.2226
5528;20.6746;14;Parada;14.2106;1.1477;-0.1440
5595;21.6078;15;En movimiento;8.1198;1.1650;2.8484
5600;21.6771;15;En movimiento;8.8137;1.2200;2.5309
5605;21.7468;15;En movimiento;9.5429;1.2784;2.1973
5610;21.8163;15;En movimiento;10.2716;1.3368;1.8638
