Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
14095;0.2855887;14.8616;1.7205;1.1164;358.6167;295.2387;359.4733;True;True;1.5102;1.6253;-0.3999;298.9009;94.1759;358.1407;302.0491;325.0517;-79.9874;0.0000;True;True;1.0758;1.6731;0.0031;291.9057;287.0317;39.7726;215.1659;334.6225;0.6173;0.0000;
14100;0.3801943;14.8537;1.7229;1.1045;356.0865;286.8374;359.0292;True;True;1.5100;1.6238;-0.3909;299.2485;92.9785;357.3224;0.0577;-0.0659;0.4481;0.0000;True;True;1.0600;1.6720;0.0044;292.1492;282.4689;41.2446;-0.8191;-0.0451;0.0749;0.0000;
14105;0.4558282;14.8505;1.7260;1.0910;354.4734;277.8241;0.0556;True;True;1.5116;1.6231;-0.3767;298.9352;90.5124;358.6614;0.0853;0.0408;0.6127;0.0000;True;True;1.0270;1.6709;0.0058;294.5357;278.5385;41.3417;-1.3933;-0.0470;0.0792;0.0000;
14110;0.5327396;14.8505;1.7267;1.0843;354.7662;274.0463;0.4912;True;True;1.5157;1.6249;-0.3633;299.5391;89.2838;357.3504;0.1931;0.0528;0.5420;0.0000;True;True;1.0047;1.6677;0.0098;296.7145;282.8772;36.0260;-0.4480;-0.1167;0.1847;0.0000;
14115;0.6050522;14.8507;1.7267;1.0876;355.0358;276.0073;0.7977;True;True;1.5170;1.6254;-0.3544;299.8116;88.5638;357.3773;-0.0047;-0.0016;0.1955;0.0000;True;True;1.0067;1.6662;0.0120;294.2267;281.8774;34.7806;0.3058;-0.0176;0.0361;0.0000;
14120;0.6765481;14.8526;1.7260;1.0975;355.7007;280.7386;359.4569;True;True;1.5154;1.6241;-0.3538;300.0865;88.4169;356.5456;-0.0563;-0.0823;-0.0432;0.0000;True;True;1.0173;1.6682;0.0091;293.1724;280.4684;37.1584;0.4838;0.1151;-0.1665;0.0000;
14125;0.7463384;14.8588;1.7221;1.1136;358.0106;291.1684;358.6742;True;True;1.5149;1.6220;-0.3582;299.7735;88.3323;357.4684;-0.0201;-0.0966;-0.3143;0.0000;True;True;1.0327;1.6712;0.0054;293.3062;282.7401;37.9547;0.7041;0.0851;-0.1402;0.0000;
14130;0.8168802;14.8700;1.7176;1.1343;0.9677;306.2143;358.8157;True;True;1.5164;1.6205;-0.3683;300.0678;89.0975;358.0952;0.0852;-0.0346;-0.4862;0.0000;True;True;1.0514;1.6723;0.0012;291.7840;282.4500;40.0559;0.7349;0.0084;-0.1662;0.0000;
14135;0.8865165;14.8787;1.7156;1.1468;2.2192;314.1892;359.0048;True;True;1.5172;1.6209;-0.3837;300.0588;90.5304;358.5208;-0.0148;0.0479;-0.6553;0.0000;True;True;1.0689;1.6714;-0.0023;291.0350;282.6876;42.2232;0.7290;-0.0744;-0.0164;0.0000;
14140;0.9564559;14.8814;1.7162;1.1514;1.8048;315.0895;358.3500;True;True;1.5171;1.6234;-0.4012;299.6518;93.2405;357.5065;-0.0423;0.1284;-0.6682;0.0000;True;True;1.0860;1.6698;-0.0006;290.4930;285.7701;40.0542;0.6551;-0.0729;0.0720;0.0000;
14145;1.02601;14.8837;1.7157;1.1548;2.1666;316.7392;358.9345;True;True;1.5197;1.6245;-0.4157;300.0678;97.1542;355.5058;0.1585;-0.0011;-0.4413;0.0000;True;True;1.1008;1.6679;-0.0005;290.5143;288.8776;38.2584;0.5635;-0.0635;-0.0478;0.0000;
14150;1.094869;14.8824;1.7124;1.1565;2.3093;317.6003;359.1449;True;True;1.5181;1.6223;-0.4205;299.9543;99.0674;355.7133;-0.4748;-0.2000;0.1655;0.0000;True;True;1.1084;1.6598;-0.0032;289.8419;288.5781;40.0901;-0.2395;-0.8955;-0.1112;0.0000;
14155;1.164407;14.8661;1.7005;1.1544;5.1804;316.0714;359.3731;True;True;1.5082;1.6055;-0.4120;297.5220;90.4573;5.9402;-0.1147;-0.9770;0.1589;0.0000;True;True;1.0505;1.5837;0.0116;303.1314;260.4412;55.0131;-4.0884;-6.0745;0.9622;0.0000;
14160;1.234749;14.8296;1.6795;1.1537;6.0768;315.7001;359.5172;True;True;1.5035;1.5601;-0.4036;310.5930;83.8502;7.1452;-0.3635;-2.5547;0.8914;0.0000;True;True;0.9886;1.3702;0.1227;341.4593;289.0814;18.7322;-0.1863;-9.7394;6.2752;0.0000;
14165;1.304168;14.7900;1.6546;1.1433;5.8751;317.8205;1.5461;True;True;1.4848;1.5062;-0.3918;316.9522;83.5463;12.8943;-0.8544;-2.0916;0.3556;0.0000;True;True;1.0336;1.1130;0.2285;15.3780;286.1649;333.1447;3.4453;-8.9514;3.1454;0.0000;
14170;1.374072;14.7626;1.6382;1.1229;8.2856;317.3199;2.7191;True;True;1.4452;1.4710;-0.3758;325.8535;84.0336;8.1574;-2.0041;-0.9952;0.5956;0.0000;True;True;1.1735;1.0315;0.2621;67.4691;260.5190;299.5973;7.3996;3.0357;3.3313;0.0000;
14175;1.443519;14.7361;1.6399;1.1029;6.6573;316.5730;359.1175;True;True;1.3987;1.4568;-0.3554;323.2184;88.7222;4.8717;-1.6300;-0.4187;1.0434;0.0000;True;True;1.2688;1.1646;0.3321;26.4937;316.8490;325.3541;1.2629;6.0491;1.5544;0.0000;
14180;1.513751;14.7115;1.6461;1.0820;6.7156;315.8404;0.0536;True;True;1.3709;1.4526;-0.3169;325.9245;85.5492;3.6093;-0.7868;0.1621;1.9997;0.0000;True;True;1.2347;1.3882;0.3751;23.5819;341.5334;9.8895;-3.1158;9.8442;0.3788;0.0000;
14185;1.583322;14.6954;1.6634;1.0712;6.1696;316.5526;359.5859;True;True;1.3618;1.4715;-0.2779;324.4548;82.7786;5.2966;0.0201;1.0674;0.9499;0.0000;True;True;1.1063;1.5512;0.3213;334.1452;327.7785;19.2794;-5.3646;3.9505;-3.0638;0.0000;
