Frame;Tiempo;ID_Bola;Estatus;Posicion_Bola_x;Posicion_Bola_y;Posicion_Bola_z
7025;0.3066;1;En movimiento;6.2884;1.2544;-0.8293
7030;0.3935;1;En movimiento;6.7956;1.2751;-0.7490
7035;0.4717;1;En movimiento;7.1967;1.2908;-0.6855
7040;0.5470;1;En movimiento;7.6026;1.3191;-0.6212
7045;0.6195;1;En movimiento;7.9873;1.3218;-0.5603
7050;0.6898;1;En movimiento;8.3616;1.3367;-0.5010
7055;0.7599;1;En movimiento;8.7323;1.3514;-0.4424
7060;0.8298;1;En movimiento;9.1027;1.3662;-0.3837
7065;0.8997;1;En movimiento;9.4714;1.3809;-0.3253
7070;0.9692;1;En movimiento;9.8408;1.3957;-0.2669
7075;1.0395;1;En movimiento;10.2067;1.4104;-0.2089
7080;1.1090;1;En movimiento;10.5743;1.4253;-0.1507
7085;1.1789;1;En movimiento;10.9436;1.4403;-0.0923
7090;1.2481;1;En movimiento;11.3143;1.4555;-0.0336
7095;1.3180;1;En movimiento;11.6824;1.4706;0.0247
7100;1.3874;1;En movimiento;12.0514;1.4858;0.0831
7105;1.4574;1;En movimiento;12.4206;1.5011;0.1416
7110;1.5269;1;En movimiento;12.7867;1.5737;0.1995
7115;1.5963;1;En movimiento;13.1526;1.5919;0.2575
7120;1.6656;1;En movimiento;13.5220;1.5476;0.3159
7120;1.6656;1;Parada;13.5937;1.6779;0.3273
7230;3.2029;2;En movimiento;17.6300;0.0637;0.0000
7235;3.2683;2;En movimiento;7.6777;1.1814;3.8409
7240;3.3384;2;En movimiento;8.0210;1.2021;3.7267
7245;3.4078;2;En movimiento;8.3640;1.2227;3.6127
7250;3.4775;2;En movimiento;8.7084;1.2436;3.4981
7255;3.5471;2;En movimiento;9.0505;1.2810;3.3844
7260;3.6168;2;En movimiento;9.3964;1.3055;3.2693
7265;3.6864;2;En movimiento;9.7397;1.3298;3.1551
7270;3.7564;2;En movimiento;10.0824;1.3540;3.0411
7275;3.8259;2;En movimiento;10.4257;1.3784;2.9269
7280;3.8959;2;En movimiento;10.7703;1.4030;2.8123
7285;3.9653;2;En movimiento;11.1131;1.3919;2.6983
7290;4.0349;2;En movimiento;11.4566;1.4133;2.5841
7295;4.1048;2;En movimiento;11.7999;1.4347;2.4699
7300;4.1746;2;En movimiento;12.1415;1.4560;2.3563
7305;4.2447;2;En movimiento;12.4820;1.4773;2.2430
7310;4.3140;2;En movimiento;12.8270;1.4990;2.1283
7315;4.3839;2;En movimiento;13.1716;1.5208;2.0136
7320;4.4538;2;En movimiento;13.5184;1.5429;1.8983
7325;4.5236;2;En movimiento;13.8605;1.5645;1.7845
7330;4.5933;2;En movimiento;14.2025;1.5863;1.6708
7335;4.6630;2;En movimiento;14.5464;1.6082;1.5564
7340;4.7326;2;En movimiento;14.8880;1.6301;1.4427
7345;4.8023;2;En movimiento;15.2299;1.6520;1.3290
7350;4.8721;2;En movimiento;15.4755;1.7797;1.2141
7353;4.9141;2;Gol;19.0000;-1.8663;0.0000
7455;6.3334;3;En movimiento;7.9452;1.1630;-0.9221
7460;6.4034;3;En movimiento;8.3429;1.1645;-0.8083
7465;6.4728;3;En movimiento;8.7392;1.1660;-0.6950
7470;6.5427;3;En movimiento;9.1347;1.1675;-0.5818
7475;6.6120;3;En movimiento;9.5313;1.1853;-0.4683
7480;6.6821;3;En movimiento;9.9267;1.1903;-0.3552
7485;6.7512;3;En movimiento;10.3221;1.1953;-0.2421
7490;6.8209;3;En movimiento;10.7173;1.1751;-0.1290
7495;6.8903;3;En movimiento;11.1139;1.1770;-0.0156
7500;6.9600;3;En movimiento;11.5090;1.1790;0.0975
7505;7.0299;3;En movimiento;11.9045;1.1810;0.2106
7510;7.0994;3;En movimiento;12.3004;1.1831;0.3239
7515;7.1690;3;En movimiento;12.6950;1.1852;0.4368
7520;7.2388;3;En movimiento;13.0900;1.1874;0.5498
7525;7.3083;3;En movimiento;13.4881;1.1898;0.6637
7526;7.3222;3;Parada;13.6454;1.2888;0.7087
7660;9.1883;4;En movimiento;17.6300;0.0000;0.0000
7665;9.2577;4;En movimiento;8.4085;1.1970;2.6776
7670;9.3275;4;En movimiento;8.7726;1.2209;2.5467
7675;9.3970;4;En movimiento;9.1342;1.2547;2.4167
7680;9.4665;4;En movimiento;9.4944;1.2817;2.2872
7685;9.5360;4;En movimiento;9.8587;1.3091;2.1562
7690;9.6059;4;En movimiento;10.2181;1.3167;2.0270
7695;9.6754;4;En movimiento;10.5816;1.3408;1.8964
7700;9.7448;4;En movimiento;10.9430;1.3648;1.7664
7705;9.8144;4;En movimiento;11.3052;1.3889;1.6362
7710;9.8843;4;En movimiento;11.6664;1.4131;1.5063
7715;9.9541;4;En movimiento;12.0289;1.4374;1.3760
7720;10.0242;4;En movimiento;12.3927;1.4619;1.2452
7725;10.0934;4;En movimiento;12.7540;1.4862;1.1153
7730;10.1622;4;En movimiento;13.1153;1.5106;0.9855
7735;10.2321;4;En movimiento;13.4744;1.5836;0.8563
7738;10.2744;4;Parada;13.7676;1.6570;0.7509
7860;11.9725;5;En movimiento;5.1911;1.1588;-1.4857
7865;12.0424;5;En movimiento;5.6185;1.1482;-1.4748
7870;12.1120;5;En movimiento;6.0480;1.1471;-1.4639
7875;12.1818;5;En movimiento;6.4745;1.1400;-1.4530
7880;12.2514;5;En movimiento;6.9052;1.1329;-1.4420
7885;12.3207;5;En movimiento;7.3300;1.1072;-1.4312
7890;12.3903;5;En movimiento;7.7576;1.0969;-1.4203
7895;12.4599;5;En movimiento;8.1838;1.0867;-1.4095
7900;12.5297;5;En movimiento;8.6133;1.0766;-1.3986
7905;12.5995;5;En movimiento;9.0388;1.0666;-1.3877
7910;12.6688;5;En movimiento;9.4665;1.0566;-1.3768
7915;12.7389;5;En movimiento;9.8962;1.0467;-1.3659
7920;12.8085;5;En movimiento;10.3239;1.0368;-1.3550
7925;12.8780;5;En movimiento;10.7505;1.0271;-1.3442
7930;12.9475;5;En movimiento;11.1777;1.0173;-1.3333
7935;13.0175;5;En movimiento;11.6072;1.0077;-1.3223
7940;13.0868;5;En movimiento;12.0347;1.0523;-1.3115
7945;13.1566;5;En movimiento;12.4639;1.0458;-1.3005
7950;13.2256;5;En movimiento;12.8894;0.9798;-1.2897
7955;13.2953;5;En movimiento;13.3166;0.9704;-1.2788
7960;13.3649;5;En movimiento;13.7446;0.9610;-1.2679
7961;13.3792;5;Parada;13.9157;1.0914;-1.2636
8045;14.5491;6;En movimiento;4.7992;1.1487;-0.5513
8050;14.6180;6;En movimiento;5.1533;1.1455;-0.5505
8055;14.6878;6;En movimiento;5.5214;1.1426;-0.5497
8060;14.7575;6;En movimiento;5.8888;1.1397;-0.5488
8065;14.8269;6;En movimiento;6.2546;1.1509;-0.5480
8070;14.8966;6;En movimiento;6.6219;1.1515;-0.5471
8075;14.9665;6;En movimiento;6.9908;1.1521;-0.5463
8080;15.0357;6;En movimiento;7.3586;1.1296;-0.5455
8085;15.1053;6;En movimiento;7.7263;1.1271;-0.5446
8090;15.1751;6;En movimiento;8.0932;1.1246;-0.5438
8095;15.2448;6;En movimiento;8.4588;1.1222;-0.5429
8100;15.3143;6;En movimiento;8.8274;1.1199;-0.5421
8105;15.3840;6;En movimiento;9.1955;1.1177;-0.5412
8110;15.4533;6;En movimiento;9.5634;1.1155;-0.5404
8115;15.5232;6;En movimiento;9.9312;1.1134;-0.5395
8120;15.5927;6;En movimiento;10.2993;1.1113;-0.5387
8125;15.6623;6;En movimiento;10.6662;1.1093;-0.5378
8130;15.7317;6;En movimiento;11.0334;1.1626;-0.5370
8135;15.8015;6;En movimiento;11.4007;1.1638;-0.5361
8140;15.8713;6;En movimiento;11.7688;1.1650;-0.5353
8145;15.9408;6;En movimiento;12.1353;1.1026;-0.5345
