Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
31446;0.01477667;14.8187;1.5005;-0.0158;2.4321;114.4161;7.7895;True;True;-0.2490;0.9816;-0.6117;28.3038;180.1349;21.2771;-49.7974;196.3230;-122.3412;0.0000;True;True;0.4806;1.2399;-0.5657;350.1266;100.6051;30.2346;96.1137;247.9720;-113.1444;0.0000;
31448;0.04168902;14.8165;1.5006;-0.0184;1.9841;117.4115;7.7713;True;True;-0.2526;0.9847;-0.6104;27.7844;181.0804;20.6948;-0.3551;0.2833;0.1540;0.0000;True;True;0.4783;1.2442;-0.5738;349.6304;101.3508;30.7943;-0.2273;0.4310;-0.7993;0.0000;
31450;0.06963954;14.8147;1.5005;-0.0197;1.6030;119.4619;7.3791;True;True;-0.2556;0.9868;-0.6084;27.2716;181.9825;20.4677;-0.2866;0.1922;0.2066;0.0000;True;True;0.4761;1.2483;-0.5811;349.2101;102.1814;31.3235;-0.2362;0.3960;-0.7184;0.0000;
31452;0.09815803;14.8133;1.5001;-0.0200;1.3994;120.9531;7.0724;True;True;-0.2578;0.9875;-0.6058;26.9695;182.6636;20.4235;-0.2023;0.0425;0.2693;0.0000;True;True;0.4737;1.2519;-0.5877;348.8549;103.0777;31.8389;-0.2231;0.3405;-0.6285;0.0000;
31454;0.1248987;14.8125;1.4994;-0.0198;1.6140;121.7208;6.9137;True;True;-0.2596;0.9873;-0.6030;26.8453;183.0908;19.9503;-0.1586;-0.0571;0.2850;0.0000;True;True;0.4713;1.2552;-0.5934;348.4210;103.6003;32.0049;-0.2414;0.3224;-0.5532;0.0000;
31456;0.1538526;14.8118;1.4981;-0.0189;1.9620;122.2071;6.6927;True;True;-0.2606;0.9856;-0.6001;27.0591;183.5159;19.4210;-0.0744;-0.2034;0.2985;0.0000;True;True;0.4690;1.2578;-0.5981;348.0950;104.3924;32.3264;-0.2246;0.2581;-0.4501;0.0000;
31458;0.1810691;14.8109;1.4960;-0.0175;2.6299;122.6131;6.5759;True;True;-0.2607;0.9829;-0.5971;27.4369;184.0225;19.4300;0.0072;-0.2996;0.3181;0.0000;True;True;0.4668;1.2603;-0.6023;347.8776;105.2925;32.6673;-0.2127;0.2398;-0.3914;0.0000;
31460;0.2086114;14.8096;1.4938;-0.0161;3.4520;123.0026;6.3419;True;True;-0.2602;0.9794;-0.5938;27.8754;184.2021;19.5637;0.0478;-0.3510;0.3143;0.0000;True;True;0.4643;1.2623;-0.6060;347.6198;105.7081;32.8516;-0.2580;0.1970;-0.3739;0.0000;
31462;0.2363753;14.8084;1.4921;-0.0151;3.9324;123.3660;6.0421;True;True;-0.2608;0.9766;-0.5914;27.1436;185.1294;20.3033;-0.1295;-0.2846;0.2301;0.0000;True;True;0.4615;1.2640;-0.6100;347.3817;106.1255;33.1589;-0.3114;0.1508;-0.4217;0.0000;
31464;0.2648282;14.8078;1.4905;-0.0143;3.8594;123.8244;5.3151;True;True;-0.2644;0.9726;-0.5895;27.0688;187.0356;19.5095;-0.3781;-0.4220;0.1993;0.0000;True;True;0.4551;1.2655;-0.6162;346.7570;105.4498;33.1623;-0.8027;0.1725;-0.7267;0.0000;
