Frame;Tiempo;ID_Bola;Estatus;Posicion_Bola_x;Posicion_Bola_y;Posicion_Bola_z
9490;0.0558;1;En movimiento;4.9976;1.1663;-1.0320
9495;0.1250;1;En movimiento;5.3371;1.1800;-0.9756
9500;0.1942;1;En movimiento;5.6789;1.1857;-0.9188
9505;0.2638;1;En movimiento;6.0233;1.1964;-0.8615
9510;0.3338;1;En movimiento;6.3656;1.2071;-0.8047
9515;0.4033;1;En movimiento;6.7088;1.2179;-0.7476
9520;0.4729;1;En movimiento;7.0519;1.2287;-0.6906
9525;0.5423;1;En movimiento;7.3950;1.2397;-0.6336
9530;0.6121;1;En movimiento;7.7397;1.2508;-0.5763
9535;0.6817;1;En movimiento;8.0833;1.2619;-0.5192
9540;0.7515;1;En movimiento;8.4277;1.2731;-0.4620
9545;0.8208;1;En movimiento;8.7695;1.3224;-0.4052
9550;0.8905;1;En movimiento;9.1130;1.3368;-0.3482
9555;0.9602;1;En movimiento;9.4563;1.3513;-0.2911
9560;1.0297;1;En movimiento;9.8011;1.3659;-0.2338
9565;1.0991;1;En movimiento;10.1443;1.3305;-0.1768
9570;1.1689;1;En movimiento;10.4873;1.3420;-0.1198
9575;1.2384;1;En movimiento;10.8308;1.3536;-0.0627
9580;1.3085;1;En movimiento;11.1732;1.3652;-0.0058
9585;1.3779;1;En movimiento;11.5164;1.3769;0.0512
9590;1.4476;1;En movimiento;11.8594;1.3887;0.1082
9595;1.5172;1;En movimiento;12.2044;1.4007;0.1655
9600;1.5865;1;En movimiento;12.5470;1.4126;0.2224
9605;1.6563;1;En movimiento;12.8916;1.4246;0.2797
9610;1.7260;1;En movimiento;13.2371;1.4368;0.3371
9615;1.7954;1;En movimiento;13.5779;1.5289;0.3937
9618;1.8372;1;Parada;13.8528;1.6232;0.4394
9715;3.1878;2;En movimiento;7.4581;1.1553;3.9207
9720;3.2573;2;En movimiento;7.7891;1.1439;3.7375
9725;3.3271;2;En movimiento;8.1257;1.1326;3.5513
9730;3.3967;2;En movimiento;8.4619;1.1214;3.3654
9735;3.4662;2;En movimiento;8.7981;1.1102;3.1794
9740;3.5359;2;En movimiento;9.1346;1.1174;2.9932
9745;3.6055;2;En movimiento;9.4712;1.1097;2.8070
9750;3.6751;2;En movimiento;9.8074;1.1020;2.6210
9755;3.7444;2;En movimiento;10.1429;1.0670;2.4354
9760;3.8141;2;En movimiento;10.4792;1.0561;2.2493
9765;3.8837;2;En movimiento;10.8158;1.0454;2.0631
9770;3.9535;2;En movimiento;11.1506;1.0347;1.8778
9775;4.0235;2;En movimiento;11.4878;1.0241;1.6913
9780;4.0927;2;En movimiento;11.8229;1.0135;1.5059
9785;4.1623;2;En movimiento;12.1609;1.0030;1.3189
9790;4.2320;2;En movimiento;12.4967;0.9926;1.1332
9795;4.3016;2;En movimiento;12.8330;0.9822;0.9471
9800;4.3712;2;En movimiento;13.1695;0.9719;0.7609
9805;4.4410;2;En movimiento;13.5066;0.9617;0.5744
9808;4.4826;2;Parada;13.7749;1.0152;0.4260
9935;6.2511;3;En movimiento;8.5493;1.1737;-2.2820
9940;6.3202;3;En movimiento;8.9295;1.2022;-2.1311
9945;6.3900;3;En movimiento;9.3089;1.2286;-1.9805
9950;6.4593;3;En movimiento;9.6892;1.2434;-1.8295
9955;6.5292;3;En movimiento;10.0690;1.2665;-1.6787
9960;6.5986;3;En movimiento;10.4485;1.2896;-1.5281
9965;6.6684;3;En movimiento;10.8283;1.3129;-1.3774
9970;6.7377;3;En movimiento;11.2069;1.3361;-1.2271
9975;6.8076;3;En movimiento;11.5883;1.3597;-1.0757
9980;6.8772;3;En movimiento;11.9669;1.3830;-0.9254
9985;6.9470;3;En movimiento;12.3489;1.4067;-0.7737
9990;7.0169;3;En movimiento;12.7295;1.4304;-0.6227
9995;7.0862;3;En movimiento;13.1090;1.4540;-0.4720
10000;7.1558;3;En movimiento;13.4890;1.5222;-0.3212
10005;7.2253;3;En movimiento;13.8711;1.5493;-0.1695
10007;7.2532;3;Parada;14.0699;1.6454;-0.0848
10145;9.1753;4;En movimiento;17.6300;0.0633;0.0000
10150;9.2438;4;En movimiento;5.2397;1.1756;-1.0991
10155;9.3137;4;En movimiento;5.6208;1.1858;-1.0964
10160;9.3834;4;En movimiento;6.0015;1.1961;-1.0938
10165;9.4529;4;En movimiento;6.3834;1.2065;-1.0911
10170;9.5224;4;En movimiento;6.7688;1.2171;-1.0884
10175;9.5923;4;En movimiento;7.1472;1.2274;-1.0858
10180;9.6617;4;En movimiento;7.5293;1.2380;-1.0832
10185;9.7316;4;En movimiento;7.9112;1.2487;-1.0805
10190;9.8009;4;En movimiento;8.2926;1.2594;-1.0779
10195;9.8708;4;En movimiento;8.6753;1.3034;-1.0752
10200;9.9402;4;En movimiento;9.0579;1.3175;-1.0726
10205;10.0097;4;En movimiento;9.4377;1.2927;-1.0699
10210;10.0790;4;En movimiento;9.8185;1.3036;-1.0673
10215;10.1489;4;En movimiento;10.2003;1.3146;-1.0646
10220;10.2185;4;En movimiento;10.5820;1.3258;-1.0620
10225;10.2885;4;En movimiento;10.9635;1.3369;-1.0593
10230;10.3582;4;En movimiento;11.3458;1.3482;-1.0567
10235;10.4277;4;En movimiento;11.7301;1.3597;-1.0540
10240;10.4971;4;En movimiento;12.1094;1.3709;-1.0514
10245;10.5669;4;En movimiento;12.4926;1.3824;-1.0487
10250;10.6362;4;En movimiento;12.8728;1.3938;-1.0461
10255;10.7061;4;En movimiento;13.2552;1.4054;-1.0434
10260;10.7757;4;En movimiento;13.6368;1.4898;-1.0408
10263;10.8174;4;Parada;13.9423;1.5015;-1.0387
10350;12.0287;5;En movimiento;7.9310;1.1625;0.0226
10355;12.0980;5;En movimiento;8.3041;1.1631;0.0505
10360;12.1677;5;En movimiento;8.6780;1.1638;0.0785
10365;12.2372;5;En movimiento;9.0539;1.1646;0.1067
10370;12.3073;5;En movimiento;9.4287;1.1654;0.1347
10375;12.3764;5;En movimiento;9.8028;1.1663;0.1627
10380;12.4463;5;En movimiento;10.1793;1.1673;0.1909
10385;12.5158;5;En movimiento;10.5517;1.1943;0.2188
10390;12.5853;5;En movimiento;10.9272;1.1987;0.2469
10395;12.6550;5;En movimiento;11.3010;1.2031;0.2748
10400;12.7244;5;En movimiento;11.6769;1.1726;0.3030
10405;12.7938;5;En movimiento;12.0499;1.1739;0.3309
10410;12.8637;5;En movimiento;12.4249;1.1753;0.3590
10415;12.9336;5;En movimiento;12.7986;1.1767;0.3869
10420;13.0030;5;En movimiento;13.1735;1.1782;0.4150
10425;13.0727;5;En movimiento;13.5466;1.1798;0.4429
10428;13.1144;5;Parada;13.8476;1.2880;0.4654
10545;14.7439;6;En movimiento;7.5530;1.1520;3.9101
10550;14.8132;6;En movimiento;7.9211;1.1708;3.7575
10555;14.8825;6;En movimiento;8.2971;1.1902;3.6018
10560;14.9523;6;En movimiento;8.6736;1.2098;3.4458
10565;15.0219;6;En movimiento;9.0504;1.2294;3.2897
10570;15.0915;6;En movimiento;9.4282;1.2492;3.1332
10575;15.1609;6;En movimiento;9.8054;1.2900;2.9769
10580;15.2308;6;En movimiento;10.1813;1.3130;2.8212
10585;15.3001;6;En movimiento;10.5574;1.3362;2.6654
10590;15.3697;6;En movimiento;10.9319;1.3293;2.5103
10595;15.4394;6;En movimiento;11.3097;1.3494;2.3538
10600;15.5091;6;En movimiento;11.6850;1.3694;2.1983
10605;15.5785;6;En movimiento;12.0621;1.3897;2.0421
10610;15.6485;6;En movimiento;12.4366;1.4098;1.8869
10615;15.7181;6;En movimiento;12.8126;1.4300;1.7312
10620;15.7880;6;En movimiento;13.1891;1.4504;1.5752
10625;15.8571;6;En movimiento;13.5683;1.4711;1.4181
10627;15.8849;6;Parada;13.7919;1.5915;1.3255
10730;17.3192;7;En movimiento;7.9042;1.1538;-0.4108
10735;17.3887;7;En movimiento;8.3252;1.1423;-0.4457
10740;17.4581;7;En movimiento;8.7561;1.1316;-0.4815
10745;17.5277;7;En movimiento;9.1859;1.1210;-0.5171
10750;17.5973;7;En movimiento;9.6181;1.1104;-0.5530
10755;17.6671;7;En movimiento;10.0488;1.0999;-0.5887
10760;17.7365;7;En movimiento;10.4779;1.0895;-0.6243
10765;17.8069;7;En movimiento;10.9113;1.0792;-0.6603
10770;17.8759;7;En movimiento;11.3406;1.0967;-0.6959
10775;17.9456;7;En movimiento;11.7715;1.0897;-0.7317
10780;18.0156;7;En movimiento;12.2008;1.0828;-0.7673
10785;18.0846;7;En movimiento;12.6331;1.0391;-0.8032
10790;18.1541;7;En movimiento;13.0631;1.0291;-0.8388
10795;18.2237;7;En movimiento;13.4954;1.0191;-0.8747
10796;18.2378;7;Parada;13.6656;1.1045;-0.8888
10905;19.7557;8;En movimiento;4.8656;1.1692;-1.0041
10910;19.8251;8;En movimiento;5.2948;1.1839;-1.0108
10915;19.8945;8;En movimiento;5.7256;1.1912;-1.0174
10920;19.9642;8;En movimiento;6.1560;1.2026;-1.0241
10925;20.0336;8;En movimiento;6.5850;1.2141;-1.0308
10930;20.1032;8;En movimiento;7.0147;1.2256;-1.0375
10935;20.1732;8;En movimiento;7.4446;1.2373;-1.0442
10940;20.2426;8;En movimiento;7.8745;1.2490;-1.0508
10945;20.3125;8;En movimiento;8.3057;1.2608;-1.0575
10950;20.3818;8;En movimiento;8.7349;1.2727;-1.0642
10955;20.4515;8;En movimiento;9.1660;1.2846;-1.0709
10960;20.5211;8;En movimiento;9.5972;1.2967;-1.0776
10965;20.5907;8;En movimiento;10.0305;1.3495;-1.0843
10970;20.6601;8;En movimiento;10.4562;1.3646;-1.0909
10975;20.7302;8;En movimiento;10.8894;1.3801;-1.0977
10980;20.7993;8;En movimiento;11.3170;1.3460;-1.1043
10985;20.8689;8;En movimiento;11.7471;1.3583;-1.1110
10990;20.9386;8;En movimiento;12.1800;1.3708;-1.1177
10995;21.0085;8;En movimiento;12.6072;1.3831;-1.1244
11000;21.0779;8;En movimiento;13.0365;1.3956;-1.1310
11005;21.1478;8;En movimiento;13.4671;1.4082;-1.1377
11005;21.1478;8;Parada;13.5556;1.5416;-1.1391
11070;22.0526;9;En movimiento;7.7165;1.1456;0.0158
11075;22.1223;9;En movimiento;8.0954;1.1397;0.0221
11080;22.1917;9;En movimiento;8.4805;1.1339;0.0285
11085;22.2614;9;En movimiento;8.8658;1.1282;0.0349
11090;22.3313;9;En movimiento;9.2505;1.1225;0.0413
11095;22.4007;9;En movimiento;9.6346;1.1352;0.0476
11100;22.4704;9;En movimiento;10.0180;1.1330;0.0540
11105;22.5399;9;En movimiento;10.4042;1.1308;0.0604
11110;22.6094;9;En movimiento;10.7879;1.1012;0.0668
11115;22.6787;9;En movimiento;11.1723;1.0959;0.0732
11120;22.7486;9;En movimiento;11.5555;1.0907;0.0796
11125;22.8182;9;En movimiento;11.9395;1.0855;0.0860
11130;22.8879;9;En movimiento;12.3246;1.0804;0.0924
11135;22.9578;9;En movimiento;12.7095;1.0753;0.0988
11140;23.0275;9;En movimiento;13.0948;1.0703;0.1052
11145;23.0969;9;En movimiento;13.4795;1.0654;0.1116
11145;23.0969;9;Parada;13.5568;1.1654;0.1129
11220;24.1411;10;En movimiento;18.6900;0.4398;0.0400
11225;24.2106;10;En movimiento;8.7265;1.1952;1.7484
11230;24.2802;10;En movimiento;9.1470;1.2222;1.6026
11235;24.3501;10;En movimiento;9.5660;1.2491;1.4572
11240;24.4192;10;En movimiento;9.9832;1.2629;1.3125
11245;24.4888;10;En movimiento;10.4019;1.2866;1.1672
11250;24.5587;10;En movimiento;10.8200;1.3103;1.0221
11255;24.6286;10;En movimiento;11.2390;1.3342;0.8768
11260;24.6977;10;En movimiento;11.6584;1.3581;0.7313
11265;24.7676;10;En movimiento;12.0778;1.3822;0.5858
11270;24.8372;10;En movimiento;12.4963;1.4062;0.4406
11275;24.9068;10;En movimiento;12.9137;1.4302;0.2957
11280;24.9763;10;En movimiento;13.3336;1.4544;0.1501
11281;24.9903;10;Parada;13.5020;1.5052;0.0916
11350;25.9524;11;En movimiento;7.7479;1.1492;0.7245
11355;26.0206;11;En movimiento;8.1732;1.1426;0.6200
11360;26.0902;11;En movimiento;8.6003;1.1353;0.5150
11365;26.1593;11;En movimiento;9.0265;1.1178;0.4103
11370;26.2292;11;En movimiento;9.4554;1.1073;0.3049
11375;26.2989;11;En movimiento;9.8808;1.0968;0.2003
11380;26.3685;11;En movimiento;10.3085;1.0864;0.0952
11385;26.4380;11;En movimiento;10.7331;1.0760;-0.0092
11390;26.5077;11;En movimiento;11.1608;1.0657;-0.1143
11395;26.5776;11;En movimiento;11.5901;1.0555;-0.2198
11400;26.6474;11;En movimiento;12.0166;1.0454;-0.3246
11405;26.7165;11;En movimiento;12.4421;1.0353;-0.4292
11410;26.7863;11;En movimiento;12.8697;1.0253;-0.5343
11415;26.8556;11;En movimiento;13.2972;1.0584;-0.6393
11419;26.9115;11;Parada;13.7244;1.0976;-0.7443
11485;27.8304;12;En movimiento;4.8997;1.1616;-1.3285
11490;27.9000;12;En movimiento;5.2857;1.1600;-1.3012
11495;27.9693;12;En movimiento;5.6702;1.1503;-1.2739
11500;28.0390;12;En movimiento;6.0573;1.1455;-1.2465
11505;28.1086;12;En movimiento;6.4426;1.1407;-1.2192
11510;28.1784;12;En movimiento;6.8275;1.1360;-1.1920
11515;28.2480;12;En movimiento;7.2137;1.1314;-1.1646
11520;28.3175;12;En movimiento;7.5997;1.1269;-1.1373
11525;28.3873;12;En movimiento;7.9872;1.1225;-1.1098
11530;28.4568;12;En movimiento;8.3732;1.1181;-1.0825
11535;28.5267;12;En movimiento;8.7581;1.1137;-1.0552
11540;28.5959;12;En movimiento;9.1434;1.1476;-1.0279
11545;28.6656;12;En movimiento;9.5300;1.1466;-1.0006
11550;28.7352;12;En movimiento;9.9165;1.1456;-0.9732
11555;28.8046;12;En movimiento;10.3012;1.0978;-0.9459
11560;28.8743;12;En movimiento;10.6875;1.0938;-0.9186
11565;28.9439;12;En movimiento;11.0747;1.0899;-0.8912
11570;29.0140;12;En movimiento;11.4611;1.0860;-0.8638
11575;29.0835;12;En movimiento;11.8446;1.0821;-0.8366
11580;29.1527;12;En movimiento;12.2287;1.0784;-0.8094
11585;29.2224;12;En movimiento;12.6177;1.0747;-0.7819
11590;29.2922;12;En movimiento;13.0034;1.0711;-0.7546
11592;29.3200;12;Parada;13.2342;1.2094;-0.7382
11610;29.5705;13;En movimiento;7.6558;1.1599;1.0402
11615;29.6401;13;En movimiento;8.0817;1.1797;1.0259
11620;29.7098;13;En movimiento;8.5081;1.1913;1.0116
11625;29.7793;13;En movimiento;8.9362;1.2079;0.9973
11630;29.8488;13;En movimiento;9.3607;1.2245;0.9831
11635;29.9185;13;En movimiento;9.7878;1.2412;0.9687
11640;29.9883;13;En movimiento;10.2135;1.2579;0.9545
