Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;
9490;0.05583782;14.3305;1.7086;-0.0450;354.0862;259.5875;3.4933;True;True;0.2742;1.3525;0.3058;327.0067;39.0457;4.6845;0.3473;0.2876;-0.1824;0.0000;True;True;-0.3017;1.3601;0.3173;330.1037;297.2634;355.8484;0.0004;0.0765;0.0405;0.0000;
9495;0.1249852;14.3291;1.7084;-0.0380;354.3547;264.9740;2.9316;True;True;0.2830;1.3597;0.3000;326.4787;41.2996;3.8171;0.3349;0.3018;-0.2888;0.0000;True;True;-0.3012;1.3616;0.3195;330.0398;297.6234;356.0461;0.0288;0.0681;0.1203;0.0000;
9500;0.1942122;14.3280;1.7083;-0.0296;354.3523;270.9317;2.8145;True;True;0.2895;1.3657;0.2928;326.4033;43.0360;2.6738;0.1478;0.1862;-0.2810;0.0000;True;True;-0.3001;1.3636;0.3226;329.7315;298.2797;356.2279;0.0465;0.0817;0.1484;0.0000;
9505;0.2638458;14.3272;1.7074;-0.0267;354.8965;272.2391;2.4141;True;True;0.2889;1.3656;0.2887;326.0277;42.9450;3.2386;-0.1054;-0.1164;-0.0564;0.0000;True;True;-0.2992;1.3672;0.3261;328.4675;298.4007;356.1385;0.1267;0.1691;0.1446;0.0000;
9510;0.3337651;14.3259;1.7066;-0.0298;355.3770;269.6622;2.2609;True;True;0.2852;1.3608;0.2893;326.9561;42.0932;3.4761;-0.2161;-0.2623;0.1257;0.0000;True;True;-0.2980;1.3715;0.3283;327.3726;299.2622;355.4505;-0.0142;0.1748;-0.0017;0.0000;
9515;0.4032518;14.3233;1.7064;-0.0326;355.2770;266.9632;2.5711;True;True;0.2808;1.3543;0.2929;327.2726;40.4116;5.6430;-0.1201;-0.1987;0.0903;0.0000;True;True;-0.2980;1.3735;0.3270;326.2980;298.8822;354.9170;-0.0567;0.0316;-0.1002;0.0000;
9520;0.4728591;14.3219;1.7068;-0.0323;355.7582;265.3327;2.4311;True;True;0.2812;1.3520;0.2938;327.6070;40.2933;5.1453;0.0445;0.0077;-0.0453;0.0000;True;True;-0.2996;1.3720;0.3246;326.7224;297.9890;355.1213;-0.0427;-0.0840;-0.0793;0.0000;
9525;0.5423023;14.3217;1.7083;-0.0301;355.3122;264.5239;2.9143;True;True;0.2842;1.3501;0.2937;327.7721;41.4616;3.3902;0.1154;-0.0884;0.0196;0.0000;True;True;-0.2993;1.3701;0.3240;327.2126;296.9819;355.4248;0.0558;-0.0456;0.0090;0.0000;
9530;0.6120726;14.3210;1.7094;-0.0274;354.8004;263.4402;2.9309;True;True;0.2862;1.3482;0.2957;328.0262;40.8118;3.5209;0.0393;-0.0384;0.1028;0.0000;True;True;-0.2965;1.3724;0.3231;327.8462;295.4032;357.1062;0.2174;0.1448;-0.0444;0.0000;
9535;0.6817287;14.3197;1.7093;-0.0237;354.4763;263.2600;3.0504;True;True;0.2887;1.3487;0.2976;327.9558;39.8286;3.9747;0.1080;0.0437;0.0610;0.0000;True;True;-0.2903;1.3745;0.3229;326.7473;295.3631;357.1802;0.1943;0.0254;-0.0103;0.0000;
9540;0.7514523;14.3182;1.7080;-0.0193;354.5016;263.0896;3.2024;True;True;0.2950;1.3506;0.2981;327.3802;39.8208;3.9689;0.3020;0.0507;0.0164;0.0000;True;True;-0.2856;1.3729;0.3232;326.5798;295.7704;356.7000;0.1768;-0.1196;0.0391;0.0000;
9545;0.8208297;14.3158;1.7066;-0.0143;355.2885;263.1932;2.8750;True;True;0.3035;1.3511;0.2993;326.9810;40.9250;3.8217;0.3621;0.0255;0.0601;0.0000;True;True;-0.2825;1.3702;0.3240;327.4697;295.8485;356.3623;0.1311;-0.0818;0.0511;0.0000;
9550;0.8904978;14.3127;1.7072;-0.0083;354.7843;263.9416;2.5738;True;True;0.3079;1.3503;0.3013;327.0973;41.9569;3.0386;0.0677;-0.0624;0.1017;0.0000;True;True;-0.2774;1.3701;0.3255;327.3335;295.9071;356.4216;0.3232;0.0200;0.1529;0.0000;
9555;0.9602173;14.3074;1.7066;-0.0029;354.5964;265.4830;2.1451;True;True;0.3093;1.3488;0.3045;327.3004;42.2714;3.2368;0.0072;-0.0299;0.0906;0.0000;True;True;-0.2695;1.3700;0.3328;326.3879;297.7664;355.6536;0.2840;-0.0188;0.3159;0.0000;
9560;1.029707;14.3010;1.7064;0.0025;354.8530;266.5785;1.7495;True;True;0.3100;1.3491;0.3076;326.9947;42.5365;3.2093;0.0772;0.0903;0.2488;0.0000;True;True;-0.2621;1.3683;0.3432;325.8299;298.6929;355.1144;0.3363;-0.0652;0.4172;0.0000;
