Frame;Tiempo;ID_Bola;Estatus;Posicion_Bola_x;Posicion_Bola_y;Posicion_Bola_z
12855;0.0695;1;En movimiento;9.0803;1.1695;4.5122
12860;0.1391;1;En movimiento;10.0780;1.1806;3.8556
12865;0.2109;1;En movimiento;11.0773;1.1919;3.1978
12870;0.2767;1;En movimiento;12.0683;1.2158;2.5456
12875;0.3470;1;En movimiento;13.0639;1.2150;1.8903
12880;0.4190;1;En movimiento;14.0585;1.2068;1.2357
12885;0.4861;1;En movimiento;15.0999;1.2607;0.5502
12889;0.5416;1;Parada;19.0000;-2.0499;0.0000
12925;1.0401;2;En movimiento;8.0874;1.1919;-1.1285
12930;1.1097;2;En movimiento;9.2206;1.2653;-1.1199
12935;1.1799;2;En movimiento;10.3486;1.3384;-1.1112
12940;1.2492;2;En movimiento;11.4751;1.4114;-1.1026
12945;1.3201;2;En movimiento;12.6220;1.4861;-1.0938
12950;1.3880;2;En movimiento;13.8081;1.5817;-1.0847
12955;1.4575;2;En movimiento;14.8858;1.6340;-1.0765
12959;1.5136;2;Parada;19.0000;-2.0471;0.0000
12995;2.0152;3;En movimiento;17.6300;0.0633;0.0000
13000;2.0832;3;En movimiento;8.8448;1.2315;0.0538
13005;2.1535;3;En movimiento;9.9527;1.2825;0.0615
13010;2.2216;3;En movimiento;11.1062;1.3389;0.0696
13015;2.2914;3;En movimiento;12.2610;1.3955;0.0777
13020;2.3607;3;En movimiento;13.4072;1.4517;0.0857
13024;2.4164;3;Parada;14.5545;1.5701;0.1027
13095;3.4014;4;En movimiento;17.6300;0.0000;0.0000
13100;3.4707;4;En movimiento;8.8870;1.2605;0.1888
13105;3.5399;4;En movimiento;10.1429;1.3577;-0.0849
13110;3.6091;4;En movimiento;11.3714;1.4526;-0.3526
13115;3.6792;4;En movimiento;12.6246;1.5496;-0.6256
13120;3.7485;4;En movimiento;13.8908;1.6648;-0.9015
13125;3.8181;4;En movimiento;15.1190;1.7631;-1.1691
13128;3.8598;4;Gol;19.0000;-2.0654;0.0000
13170;4.4407;5;En movimiento;5.2928;1.1837;-0.2789
13175;4.5109;5;En movimiento;6.5394;1.2475;-0.1560
13180;4.5801;5;En movimiento;7.7962;1.3120;-0.0321
13185;4.6492;5;En movimiento;9.0180;1.3745;0.0884
13190;4.7191;5;En movimiento;10.2804;1.4395;0.2129
13195;4.7881;5;En movimiento;11.5206;1.5215;0.3351
13200;4.8577;5;En movimiento;12.7618;1.5678;0.4575
13205;4.9274;5;En movimiento;14.0093;1.6321;0.5805
13210;4.9970;5;En movimiento;15.2620;1.6968;0.7040
13212;5.0268;5;Parada;19.0000;-2.0871;0.0000
13240;5.4177;6;En movimiento;8.0752;1.1608;-3.8319
13245;5.4855;6;En movimiento;9.0989;1.1639;-3.3862
13250;5.5547;6;En movimiento;10.1441;1.1674;-2.9313
13255;5.6244;6;En movimiento;11.1867;1.1709;-2.4774
13260;5.6940;6;En movimiento;12.2072;1.1749;-2.0332
13265;5.7626;6;En movimiento;13.2523;1.1786;-1.5783
13270;5.8328;6;En movimiento;14.3019;1.2026;-1.1214
13275;5.9032;6;En movimiento;15.3444;1.1862;-0.6676
13277;5.9314;6;Parada;19.0000;-2.0752;0.0000
13315;6.4573;7;En movimiento;8.7095;1.1980;-3.0277
13320;6.5250;7;En movimiento;9.8325;1.2586;-2.5461
13325;6.5955;7;En movimiento;10.9744;1.3204;-2.0564
13330;6.6650;7;En movimiento;12.0673;1.3792;-1.5877
13335;6.7353;7;En movimiento;13.1621;1.4382;-1.1182
13340;6.8038;7;En movimiento;14.3070;1.5199;-0.6272
13345;6.8734;7;En movimiento;15.4020;1.5823;-0.1576
13347;6.9013;7;Gol;19.0000;-2.0710;0.0000
13385;7.4310;8;En movimiento;5.3053;1.1908;-0.6242
13390;7.5006;8;En movimiento;6.4499;1.2472;-0.5369
13395;7.5742;8;En movimiento;7.6507;1.2983;-0.4454
13400;7.6384;8;En movimiento;8.8122;1.3650;-0.3568
13405;7.7078;8;En movimiento;10.0000;1.4240;-0.2663
13410;7.7780;8;En movimiento;11.1806;1.4827;-0.1762
13415;7.8451;8;En movimiento;12.3641;1.5416;-0.0860
13420;7.9145;8;En movimiento;13.5765;1.6023;0.0064
13425;7.9846;8;En movimiento;14.7831;1.7843;0.1192
13430;8.0559;8;En movimiento;18.9716;-1.9922;0.0148
13430;8.0559;8;Gol;18.9716;-1.9922;0.0148
13455;8.4014;9;En movimiento;17.6300;0.0000;0.0000
13460;8.4719;9;En movimiento;8.4937;1.2372;-0.7590
13465;8.5398;9;En movimiento;9.5696;1.3031;-0.4602
13470;8.6086;9;En movimiento;10.6569;1.3801;-0.1584
13475;8.6799;9;En movimiento;11.7416;1.4366;0.1428
13480;8.7474;9;En movimiento;12.8645;1.5230;0.4546
13485;8.8173;9;En movimiento;13.9092;1.5708;0.7446
13490;8.8857;9;En movimiento;14.9837;1.6370;1.0430
13494;8.9434;9;Parada;19.0000;-2.0766;0.0000
13530;9.4418;10;En movimiento;8.8058;1.1702;-2.1777
13535;9.5128;10;En movimiento;9.9309;1.1839;-1.8315
13540;9.5837;10;En movimiento;11.0145;1.1872;-1.4981
13545;9.6513;10;En movimiento;12.1298;1.1961;-1.1549
13550;9.7212;10;En movimiento;13.2561;1.2052;-0.8083
13555;9.7891;10;En movimiento;14.3685;1.2141;-0.4661
13560;9.8590;10;En movimiento;15.4615;1.2244;-0.1281
13562;9.8866;10;Parada;19.0000;-2.0689;0.0000
13600;10.4172;11;En movimiento;8.1465;1.1823;0.8005
13605;10.4842;11;En movimiento;9.3233;1.2577;0.4865
13610;10.5550;11;En movimiento;10.3997;1.3259;0.1993
13615;10.6241;11;En movimiento;11.5020;1.3960;-0.0948
13620;10.6931;11;En movimiento;12.6249;1.4819;-0.3943
13625;10.7624;11;En movimiento;13.7349;1.5392;-0.6905
13630;10.8316;11;En movimiento;14.8779;1.6327;-0.9954
13635;10.9016;11;En movimiento;19.0000;-2.0710;0.0000
13635;10.9016;11;Gol;19.0000;-2.0710;0.0000
13675;11.4572;12;En movimiento;5.7816;1.1761;-1.4964
13680;11.5264;12;En movimiento;7.0346;1.1894;-1.3755
13685;11.5973;12;En movimiento;8.3626;1.2131;-1.2474
13690;11.6650;12;En movimiento;9.5913;1.2171;-1.1288
13695;11.7345;12;En movimiento;10.8404;1.2306;-1.0082
13700;11.8034;12;En movimiento;12.1246;1.2642;-0.8843
13705;11.8732;12;En movimiento;13.3902;1.2814;-0.7622
13710;11.9436;12;En movimiento;14.6366;1.2982;-0.6419
13715;12.0129;12;En movimiento;19.0000;-2.0864;0.0000
13715;12.0129;12;Parada;19.0000;-2.0864;0.0000
13745;12.4304;13;En movimiento;5.2776;1.1554;-0.3753
13750;12.5011;13;En movimiento;6.3827;1.1583;-0.4083
13755;12.5701;13;En movimiento;7.5431;1.1618;-0.4430
13760;12.6396;13;En movimiento;8.6624;1.1650;-0.4765
13765;12.7074;13;En movimiento;9.8221;1.1836;-0.5112
13770;12.7770;13;En movimiento;10.9206;1.1724;-0.5440
13775;12.8471;13;En movimiento;12.0405;1.1758;-0.5775
13780;12.9152;13;En movimiento;13.1906;1.1796;-0.6119
13785;12.9846;13;En movimiento;14.3230;1.1832;-0.6458
13790;13.0552;13;En movimiento;15.4588;1.1869;-0.6798
13792;13.0823;13;Parada;19.0000;-2.0960;0.0000
13815;13.4017;14;En movimiento;17.6300;0.0000;0.0000
13820;13.4716;14;En movimiento;8.7708;1.1714;-3.2546
13825;13.5416;14;En movimiento;9.8736;1.1892;-2.8162
13830;13.6109;14;En movimiento;11.0109;1.2079;-2.3642
13835;13.6788;14;En movimiento;12.1252;1.2397;-1.9213
13840;13.7493;14;En movimiento;13.2469;1.2446;-1.4754
13845;13.8191;14;En movimiento;14.3581;1.2629;-1.0337
13850;13.8879;14;En movimiento;15.4624;1.3122;-0.5855
13852;13.9160;14;Parada;19.0000;-2.0731;0.0000
13890;14.4433;15;En movimiento;8.5520;1.1978;2.2626
13895;14.5127;15;En movimiento;9.6224;1.2691;1.7361
13900;14.5825;15;En movimiento;10.6887;1.3319;1.2116
13905;14.6515;15;En movimiento;11.7733;1.4010;0.6781
13910;14.7216;15;En movimiento;12.8606;1.4704;0.1433
13915;14.7912;15;En movimiento;13.9250;1.5381;-0.3802
13920;14.8613;15;En movimiento;15.0025;1.6069;-0.9102
