Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;
4930;0.2994591;14.8706;1.6593;-0.0050;6.4559;265.5368;2.6966;True;True;0.2330;1.0906;-0.1527;10.3812;16.1297;3.6111;-0.0738;0.0990;0.0156;0.0000;True;True;-0.2982;1.1365;-0.1363;356.5810;322.2581;14.1567;-0.0822;0.1458;-0.0537;0.0000;
4935;0.3925778;14.8723;1.6611;-0.0052;5.4988;265.8414;2.5129;True;True;0.2303;1.0938;-0.1532;9.8551;16.1900;4.9586;-0.0684;0.0863;-0.0158;0.0000;True;True;-0.2991;1.1390;-0.1384;356.7662;321.9244;16.3202;0.0095;0.0698;-0.0588;0.0000;
4940;0.4735122;14.8735;1.6624;-0.0057;4.6472;265.8191;2.4698;True;True;0.2268;1.0984;-0.1544;8.6972;16.1780;5.9725;-0.2411;0.1774;-0.0289;0.0000;True;True;-0.2973;1.1411;-0.1402;356.6451;321.7292;16.2818;0.0789;0.0540;-0.0271;0.0000;
4945;0.546779;14.8735;1.6620;-0.0037;4.9071;266.4503;2.5338;True;True;0.2251;1.1064;-0.1553;5.9515;15.7498;7.7617;0.0500;0.3600;0.0021;0.0000;True;True;-0.2955;1.1446;-0.1418;356.0843;321.5435;15.7035;0.0450;0.1669;-0.0676;0.0000;
4950;0.6171871;14.8719;1.6605;-0.0019;5.6637;266.5666;2.8018;True;True;0.2272;1.1152;-0.1553;2.9292;17.9522;10.5466;-0.2241;0.4778;-0.0753;0.0000;True;True;-0.2960;1.1489;-0.1424;355.4830;320.9311;14.9237;-0.0821;0.1576;-0.0140;0.0000;
4955;0.6879408;14.8663;1.6559;-0.0048;6.6371;265.2166;3.6988;True;True;0.2018;1.1318;-0.1527;350.3590;18.2827;23.0696;-1.8823;0.9554;0.1723;0.0000;True;True;-0.2913;1.1642;-0.1410;345.8415;318.4486;7.0516;0.0316;0.9165;0.1452;0.0000;
4960;0.7572966;14.8546;1.6392;-0.0231;4.7235;263.5532;3.5276;True;True;0.1453;1.1437;-0.1384;343.0702;9.5974;24.6224;-2.3045;0.4263;0.5424;0.0000;True;True;-0.2958;1.1934;-0.1261;334.3289;313.3997;5.8014;-0.2306;1.2599;0.7851;0.0000;
4965;0.8271824;14.8482;1.6043;-0.0605;7.8400;261.8547;4.6274;True;True;0.0912;1.1553;-0.1173;336.7902;6.4659;22.3765;-2.0904;0.4509;1.0038;0.0000;True;True;-0.2951;1.2292;-0.1084;316.7569;300.2233;10.6987;-0.0728;1.1631;0.5151;0.0000;
4970;0.8956844;14.8446;1.5666;-0.1099;9.0544;259.6932;6.2969;True;True;0.0469;1.1661;-0.0967;330.7260;7.2537;20.1693;-1.3272;0.3499;0.7874;0.0000;True;True;-0.3155;1.2443;-0.0929;319.7089;291.1349;26.8004;-1.3271;0.0832;0.6409;0.0000;
4975;0.9658541;14.8436;1.5285;-0.1662;11.0439;256.6063;9.0033;True;True;0.0146;1.1604;-0.0856;328.7353;10.0958;16.1159;-1.0098;-0.4458;0.2365;0.0000;True;True;-0.3606;1.2232;-0.0740;324.4819;287.8316;39.1862;-2.1028;-1.3684;0.8334;0.0000;
4980;1.035997;14.8407;1.4991;-0.2217;13.3501;252.0685;11.0393;True;True;-0.0150;1.1541;-0.0948;326.7178;11.3983;15.9982;-1.6049;-0.1378;-0.4951;0.0000;True;True;-0.3899;1.2105;-0.0746;334.1174;274.1349;40.4163;-0.2030;0.2755;-0.7440;0.0000;
