Frame;Tiempo;ID_Bola;Estatus;Posicion_Bola_x;Posicion_Bola_y;Posicion_Bola_z
13790;0.3522;1;En movimiento;9.3169;1.2629;-0.1227
13795;0.4219;1;En movimiento;9.8157;1.3067;-0.1539
13800;0.5019;1;En movimiento;10.2371;1.3196;-0.1803
13805;0.5763;1;En movimiento;10.6377;1.3379;-0.2053
13810;0.6481;1;En movimiento;11.0266;1.3555;-0.2297
13815;0.7183;1;En movimiento;11.4022;1.3728;-0.2532
13820;0.7884;1;En movimiento;11.7795;1.3903;-0.2768
13825;0.8585;1;En movimiento;12.1538;1.4077;-0.3002
13830;0.9281;1;En movimiento;12.5272;1.4251;-0.3236
13835;0.9978;1;En movimiento;12.9007;1.4426;-0.3470
13840;1.0674;1;En movimiento;13.2735;1.4601;-0.3703
13845;1.1372;1;En movimiento;13.6469;1.4777;-0.3937
13850;1.2068;1;En movimiento;14.0204;1.5387;-0.4170
13855;1.2767;1;En movimiento;14.3932;1.5595;-0.4404
13857;1.3045;1;Parada;14.6142;1.6409;-0.4782
14000;3.2965;2;En movimiento;7.8317;1.1641;-0.9067
14005;3.3659;2;En movimiento;8.2522;1.1567;-0.9214
14010;3.4356;2;En movimiento;8.6717;1.1410;-0.9361
14015;3.5050;2;En movimiento;9.0925;1.1302;-0.9509
14020;3.5750;2;En movimiento;9.5129;1.1196;-0.9656
14025;3.6446;2;En movimiento;9.9318;1.1090;-0.9803
14030;3.7143;2;En movimiento;10.3516;1.0985;-0.9950
14035;3.7841;2;En movimiento;10.7716;1.0880;-1.0098
14040;3.8540;2;En movimiento;11.1928;1.0776;-1.0246
14045;3.9235;2;En movimiento;11.6165;1.0673;-1.0394
14050;3.9934;2;En movimiento;12.0359;1.0570;-1.0541
14055;4.0630;2;En movimiento;12.4566;1.0468;-1.0689
14060;4.1329;2;En movimiento;12.8771;1.0367;-1.0836
14065;4.2026;2;En movimiento;13.2984;1.0267;-1.0984
14070;4.2723;2;En movimiento;13.7210;1.0167;-1.1132
14075;4.3418;2;En movimiento;14.1402;1.0574;-1.1279
14077;4.3699;2;Parada;14.3927;1.1057;-1.1368
14220;6.3620;3;En movimiento;7.7565;1.1505;0.6965
14225;6.4311;3;En movimiento;8.1068;1.1551;0.6720
14230;6.5009;3;En movimiento;8.4631;1.1525;0.6471
14235;6.5706;3;En movimiento;8.8212;1.1541;0.6221
14240;6.6406;3;En movimiento;9.1805;1.1700;0.5969
14245;6.7098;3;En movimiento;9.5337;1.1574;0.5723
14250;6.7796;3;En movimiento;9.8897;1.1591;0.5474
14255;6.8492;3;En movimiento;10.2466;1.1610;0.5225
14260;6.9187;3;En movimiento;10.6012;1.1628;0.4977
14265;6.9884;3;En movimiento;10.9615;1.1649;0.4725
14270;7.0581;3;En movimiento;11.3158;1.1669;0.4477
14275;7.1277;3;En movimiento;11.6793;1.1692;0.4223
14280;7.1975;3;En movimiento;12.0304;1.1712;0.3978
14285;7.2669;3;En movimiento;12.3871;1.2172;0.3729
14290;7.3368;3;En movimiento;12.7431;1.2226;0.3480
14295;7.4061;3;En movimiento;13.0995;1.2281;0.3231
14300;7.4759;3;En movimiento;13.4564;1.1812;0.2982
