USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
21;HGTrainer;2025-03-10 21:52:23;88.69749;56;36;20;0;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/13/TrackingData/OculusTracking_20250310_215223.csv;Default;Progressive2;Handball;2;20;;1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,3,1,2,2,2,2,2,1,2,2,3,3,1,1,3,2,3,2,3,2,3,1,3,1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56;(7.63, 1.16, -0.02),(7.58, 1.17, -0.90),(7.61, 1.15, 0.71),(7.87, 1.16, 2.47),(7.57, 1.16, -0.50),(4.79, 1.16, -1.37),(7.63, 1.16, -1.18),(7.87, 1.15, 1.07),(7.66, 1.16, -4.63),(4.82, 1.17, -0.55),(4.81, 1.15, -0.52),(4.69, 1.15, -1.53),(7.97, 1.15, -3.24),(7.38, 1.16, -1.11),(8.19, 1.15, -2.35),(7.31, 1.15, -4.88),(8.08, 1.16, -2.88),(7.80, 1.17, 0.00),(7.57, 1.17, -4.50),(8.13, 1.16, -2.56),(7.41, 1.17, -4.62),(7.51, 1.17, 4.31),(7.49, 1.17, -0.05),(7.64, 1.15, -1.16),(4.90, 1.15, -0.53),(7.82, 1.15, 0.76),(8.25, 1.17, 2.20),(7.37, 1.17, 4.36),(4.73, 1.17, -1.01),(8.27, 1.17, -2.21),(4.89, 1.16, -1.44),(4.82, 1.16, -0.39),(7.64, 1.15, -3.95),(7.57, 1.17, -1.05),(7.18, 1.17, 4.80),(7.86, 1.17, 0.70),(7.72, 1.17, -0.70),(4.67, 1.15, -0.72),(4.63, 1.15, -1.24),(8.10, 1.16, 2.08),(7.88, 1.16, -0.95),(7.71, 1.15, 0.00),(4.68, 1.15, -1.94),(8.17, 1.16, 2.38),(8.14, 1.17, -2.69),(7.87, 1.15, 3.72),(7.94, 1.15, 2.54),(4.88, 1.17, -0.42),(4.79, 1.15, -1.62),(7.48, 1.15, 1.12),(7.51, 1.17, 0.10),(7.78, 1.16, -3.00),(7.60, 1.17, -4.39),(7.62, 1.17, 1.10),(7.69, 1.17, -4.38),(7.45, 1.15, 4.67);Pivote,Pivote,Pivote,LateralDerecho,Pivote,Central,Pivote,Pivote,LateralIzquierdo,Central,Central,Central,LateralIzquierdo,Pivote,LateralIzquierdo,LateralIzquierdo,LateralIzquierdo,Pivote,LateralIzquierdo,LateralIzquierdo,LateralIzquierdo,LateralDerecho,Pivote,Pivote,Central,Pivote,LateralDerecho,LateralDerecho,Central,LateralIzquierdo,Central,Central,LateralIzquierdo,Pivote,LateralDerecho,Pivote,Pivote,Central,Central,LateralDerecho,Pivote,Pivote,Central,LateralDerecho,LateralIzquierdo,LateralDerecho,LateralDerecho,Central,Central,Pivote,Pivote,LateralIzquierdo,LateralIzquierdo,Pivote,LateralIzquierdo,LateralDerecho;(15.75, 1.75, -0.53),(15.75, 1.16, -1.18),(15.75, 1.41, 0.14),(15.75, 1.74, -0.08),(15.75, 1.37, -0.60),(15.75, 1.89, 0.05),(15.75, 1.25, 0.52),(15.75, 1.42, -1.13),(15.75, 1.16, -0.02),(15.75, 1.35, 0.71),(15.75, 1.30, -0.50),(15.75, 1.33, 0.73),(15.75, 1.29, 0.69),(15.75, 1.87, 0.08),(15.75, 1.24, -0.06),(15.75, 1.67, 0.01),(15.75, 1.75, 1.15),(15.75, 1.81, -1.25),(15.75, 1.71, -0.43),(15.75, 1.80, -0.05),(15.75, 1.85, 0.05),(15.75, 1.86, 1.38),(15.75, 1.34, -0.07),(15.75, 1.34, 0.18),(15.75, 1.87, -0.11),(15.75, 1.71, 0.11),(15.75, 1.89, -1.32),(15.75, 1.82, -0.04),(15.75, 1.78, 1.14),(15.75, 1.25, 0.68),(15.75, 1.76, -0.08),(15.75, 1.20, -0.55),(15.75, 1.75, 0.78),(15.75, 1.72, 0.60),(15.75, 1.66, -0.65),(15.75, 1.70, 1.21),(15.75, 1.63, 1.09),(15.75, 1.15, -1.29),(15.75, 1.24, -1.24),(15.75, 1.39, -0.62),(15.75, 1.15, -0.49),(15.75, 1.35, -1.28),(15.75, 1.90, 0.14),(15.75, 1.22, 1.18),(15.75, 1.41, -1.16),(15.75, 1.40, -1.28),(15.75, 1.18, 0.68),(15.75, 1.41, 0.59),(15.75, 1.67, 1.13),(15.75, 1.68, 0.08),(15.75, 1.80, -0.05),(15.75, 1.78, 1.10),(15.75, 1.87, 1.11),(15.75, 1.29, -0.06),(15.75, 1.82, -1.14),(15.75, 1.88, 1.08);CentroIzquierda,BajoIzquierda,CentroBajo,Centro,CentroIzquierdaBajo,Centro,CentroDerechaBajo,BajoIzquierda,CentroBajo,CentroDerechaBajo,CentroIzquierdaBajo,CentroDerechaBajo,CentroDerechaBajo,Centro,CentroBajo,Centro,EscuadraDerecha,EscuadraIzquierda,CentroIzquierda,Centro,Centro,EscuadraDerecha,CentroBajo,CentroBajo,Centro,Centro,EscuadraIzquierda,Centro,EscuadraDerecha,CentroDerechaBajo,Centro,CentroIzquierdaBajo,CentroDerecha,CentroDerecha,CentroIzquierda,EscuadraDerecha,EscuadraDerecha,BajoIzquierda,BajoIzquierda,CentroIzquierdaBajo,CentroIzquierdaBajo,BajoIzquierda,Centro,BajoDerecha,BajoIzquierda,BajoIzquierda,CentroDerechaBajo,CentroDerechaBajo,EscuadraDerecha,Centro,Centro,EscuadraDerecha,EscuadraDerecha,CentroBajo,EscuadraIzquierda,EscuadraDerecha;Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Parada,Parada,Parada,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido,Parada,Gol recibido,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Parada,Gol recibido,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Gol recibido,Parada,Gol recibido,Gol recibido;LeftHand,LeftHand,Trunk,Head,RightForearm,Head,Trunk,RightHand,RightForearm,Trunk,Trunk,Trunk,Trunk,Head,Trunk,Head,No parada,No parada,No parada,Head,Head,No parada,Trunk,Trunk,Head,No parada,No parada,No parada,No parada,Trunk,Head,Trunk,RightUpperarm,No parada,Head,No parada,No parada,LeftUpperarm,Trunk,Trunk,Trunk,Trunk,Head,No parada,No parada,Trunk,No parada,No parada,No parada,Head,Head,No parada,No parada,Trunk,No parada,No parada;0.276997,3.241816,6.330859,9.342027,12.192968,14.907858,17.567019,20.019198,22.332244,24.45848,26.478346,28.314847,30.195945,31.643989,32.969473,34.205972,35.793121,37.392539,38.85452,40.399821,41.542876,42.893425,44.437356,45.594109,46.735926,48.336884,49.685884,51.050144,52.66532,54.504221,55.536826,56.996603,58.443929,59.724627,61.102102,62.412159,63.775101,65.125798,66.547255,68.064696,69.097091,70.083394,71.112499,72.508522,73.728907,74.969549,76.069747,77.251941,78.924097,80.56567,81.62723,82.627424,83.934866,85.314496,86.33101,87.610255;1.316263,4.382004,7.694951,10.591013,13.403468,16.563736,18.833443,21.144342,23.622422,26.170375,27.993639,29.998696,31.363691,32.769776,34.008623,35.595783,37.184543,38.646811,40.19254,41.345639,42.696334,44.229406,45.396986,46.538701,48.139787,49.478212,50.842577,52.457859,54.295384,55.337593,56.799398,58.246374,59.514277,60.894064,62.215192,63.5674,64.918391,66.349919,67.867393,68.897741,69.886219,70.903245,72.308939,73.521207,74.760732,75.872357,77.044757,78.715177,80.358143,81.427966,82.430012,83.72696,85.105691,86.133768,87.403091,88.697378

USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
21;HGTrainer;2025-03-10 22:08:52;60.85637;48;22;26;0;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/13/TrackingData/OculusTracking_20250310_220852.csv;Default;PerTime;Handball;7;;60;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48;(8.53, 1.16, -5.30),(7.88, 1.15, -3.57),(7.63, 1.16, -0.51),(4.79, 1.16, -0.65),(7.15, 1.16, 4.47),(4.81, 1.15, -0.08),(7.65, 1.16, 3.41),(4.64, 1.15, -1.73),(7.86, 1.17, -0.07),(7.61, 1.15, -4.54),(7.83, 1.15, 0.76),(7.64, 1.15, 3.89),(7.72, 1.16, -3.82),(8.32, 1.15, -2.17),(7.74, 1.17, 3.12),(4.96, 1.15, -1.75),(4.76, 1.16, -0.51),(7.48, 1.17, -0.34),(7.68, 1.17, -0.05),(4.85, 1.16, -0.06),(7.50, 1.16, -4.03),(7.52, 1.17, 0.76),(7.38, 1.17, 4.71),(8.09, 1.15, -2.94),(7.26, 1.17, 4.78),(7.89, 1.17, -3.17),(7.56, 1.15, 3.68),(7.64, 1.17, -0.37),(7.50, 1.17, -4.49),(7.73, 1.16, 3.58),(7.71, 1.16, -0.81),(7.60, 1.15, 0.05),(7.71, 1.17, 0.47),(7.21, 1.15, 4.72),(4.71, 1.15, -1.03),(7.45, 1.15, 0.45),(4.78, 1.16, -1.34),(7.73, 1.17, -0.52),(8.17, 1.17, -2.34),(4.76, 1.16, -1.07),(7.74, 1.16, -0.12),(4.68, 1.17, -0.67),(7.45, 1.15, 4.30),(8.03, 1.16, 2.23),(7.91, 1.16, 3.73),(4.63, 1.15, 0.09),(7.65, 1.17, 0.62),(7.36, 1.15, 4.44);LateralIzquierdo,LateralIzquierdo,Pivote,Central,LateralDerecho,Central,LateralDerecho,Central,Pivote,LateralIzquierdo,Pivote,LateralDerecho,LateralIzquierdo,LateralIzquierdo,LateralDerecho,Central,Central,Pivote,Pivote,Central,LateralIzquierdo,Pivote,LateralDerecho,LateralIzquierdo,LateralDerecho,LateralIzquierdo,LateralDerecho,Pivote,LateralIzquierdo,LateralDerecho,Pivote,Pivote,Pivote,LateralDerecho,Central,Pivote,Central,Pivote,LateralIzquierdo,Central,Pivote,Central,LateralDerecho,LateralDerecho,LateralDerecho,Central,Pivote,LateralDerecho;(15.75, 1.24, -1.02),(15.75, 1.24, 1.33),(15.75, 1.90, 1.14),(15.75, 1.21, 0.62),(15.75, 1.69, -0.54),(15.75, 1.23, -0.61),(15.75, 1.29, 0.55),(15.75, 1.27, 1.24),(15.75, 1.18, 1.32),(15.75, 1.40, -1.08),(15.75, 1.78, -0.54),(15.75, 1.86, -1.03),(15.75, 1.27, 1.31),(15.75, 1.64, -0.50),(15.75, 1.84, 0.73),(15.75, 1.66, -1.03),(15.75, 1.66, 1.22),(15.75, 1.91, -0.02),(15.75, 1.88, -1.04),(15.75, 1.39, 0.17),(15.75, 1.38, 1.25),(15.75, 1.85, 0.76),(15.75, 1.76, 1.14),(15.75, 1.70, 0.15),(15.75, 1.22, -0.06),(15.75, 1.70, 0.05),(15.75, 1.66, 0.61),(15.75, 1.38, 0.09),(15.75, 1.92, -0.67),(15.75, 1.15, -0.66),(15.75, 1.25, -1.14),(15.75, 1.80, 0.57),(15.75, 1.35, -1.10),(15.75, 1.27, 1.27),(15.75, 1.81, -0.07),(15.75, 1.83, 1.09),(15.75, 1.79, -0.53),(15.75, 1.36, 0.15),(15.75, 1.32, 0.55),(15.75, 1.83, -1.17),(15.75, 1.86, -0.07),(15.75, 1.35, -1.25),(15.75, 1.74, -1.26),(15.75, 1.37, 1.32),(15.75, 1.19, 0.09),(15.75, 1.21, 0.51),(15.75, 1.81, 1.12),(15.75, 1.17, -0.61);BajoIzquierda,BajoDerecha,EscuadraDerecha,CentroDerechaBajo,CentroIzquierda,CentroIzquierdaBajo,CentroDerechaBajo,BajoDerecha,BajoDerecha,BajoIzquierda,CentroIzquierda,EscuadraIzquierda,BajoDerecha,CentroIzquierda,CentroDerecha,EscuadraIzquierda,EscuadraDerecha,Centro,EscuadraIzquierda,CentroBajo,BajoDerecha,CentroDerecha,EscuadraDerecha,Centro,CentroBajo,Centro,CentroDerecha,CentroBajo,CentroIzquierda,CentroIzquierdaBajo,BajoIzquierda,CentroDerecha,BajoIzquierda,BajoDerecha,Centro,EscuadraDerecha,CentroIzquierda,CentroBajo,CentroDerechaBajo,EscuadraIzquierda,Centro,BajoIzquierda,EscuadraIzquierda,BajoDerecha,CentroBajo,CentroDerechaBajo,EscuadraDerecha,CentroIzquierdaBajo;Gol recibido,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Parada,Parada,Parada,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Parada,Gol recibido,Gol recibido,Gol recibido,Parada,Gol recibido,Gol recibido,Gol recibido,Parada,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Parada,Gol recibido,Parada,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Parada;No parada,RightForearm,RightHand,LeftHand,LeftHand,LeftHand,No parada,RightForearm,RightHand,No parada,LeftHand,LeftHand,RightHand,No parada,No parada,No parada,No parada,LeftHand,LeftHand,RightForearm,RightHand,No parada,No parada,LeftHand,No parada,No parada,No parada,Trunk,No parada,No parada,No parada,RightHand,No parada,No parada,No parada,No parada,No parada,Trunk,Trunk,No parada,Head,No parada,RightForearm,No parada,No parada,No parada,No parada,Trunk;0.277166,3.799768,6.181712,7.183098,8.240854,10.413597,11.415566,12.501847,13.504212,15.147965,16.150296,17.793553,19.591951,21.344,22.346205,23.348996,24.337769,25.340262,26.8719,28.306169,30.129451,31.689604,32.691332,33.693694,35.130245,36.132267,37.133844,38.135963,39.513465,40.503307,41.505635,42.5076,43.828199,44.820664,45.82282,46.823751,47.823969,48.826421,50.027598,51.250798,52.252344,53.407107,54.409587,55.634884,56.637828,57.64041,58.632405,59.632633;1.68035,5.204027,7.265285,8.671574,9.45194,11.553351,12.529405,13.781784,14.213716,16.206361,16.873672,18.683731,20.437873,22.179719,23.223822,24.434929,25.520686,26.007043,27.441262,29.265195,30.838844,32.371513,33.513408,34.305776,36.019778,36.882852,37.899523,38.705304,40.266203,41.254615,42.145689,43.049076,44.497869,45.527882,46.753231,47.478199,48.730225,49.298954,50.524118,52.058653,52.697212,54.202416,54.938248,56.16572,57.265711,58.434839,59.186988,60.187442

USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
21;HGTrainer;2025-03-10 22:17:16;59.6991;0;0;0;48;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/13/TrackingData/OculusTracking_20250310_221716.csv;Default;LightsReaction2;Handball;9;;60;;;;;;;;;;

USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
