Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;
6552;0.0138262;14.8241;1.5271;0.0785;9.9435;269.1559;2.3286;True;True;0.4478;1.5653;0.0088;287.6266;65.7667;23.6868;89.5596;313.0547;1.7692;0.0000;True;True;-0.3432;1.5917;-0.0001;299.8837;281.9362;13.0138;-68.6383;318.3448;-0.0195;0.0000;
6554;0.3424907;14.8182;1.5281;0.0808;9.4418;269.8277;2.4539;True;True;0.4506;1.5651;0.0116;287.9509;67.1321;22.4542;0.1226;-0.0368;0.1278;0.0000;True;True;-0.3409;1.5914;0.0053;299.3289;282.6840;11.9387;0.1453;0.0123;0.2357;0.0000;
6556;0.3564965;14.8162;1.5289;0.0810;9.2287;269.9485;2.4755;True;True;0.4526;1.5639;0.0140;288.2201;66.9674;22.6432;0.2127;-0.1186;0.2532;0.0000;True;True;-0.3391;1.5920;0.0085;298.3036;282.1867;11.8537;0.1480;0.0656;0.3288;0.0000;
6558;0.4077574;14.8141;1.5293;0.0811;8.9561;269.9832;2.3988;True;True;0.4545;1.5627;0.0164;288.3651;66.9117;23.1197;0.1773;-0.1129;0.2449;0.0000;True;True;-0.3383;1.5930;0.0120;298.1694;282.2766;11.7858;0.0717;0.0935;0.3451;0.0000;
6560;0.4355932;14.8120;1.5297;0.0810;8.8412;269.9058;2.2646;True;True;0.4561;1.5614;0.0188;288.5341;66.3671;23.8867;0.1494;-0.1290;0.2321;0.0000;True;True;-0.3379;1.5939;0.0156;298.3525;282.6567;11.6104;0.0343;0.1070;0.3567;0.0000;
6562;0.4645375;14.8101;1.5293;0.0805;8.8186;269.7988;2.1211;True;True;0.4575;1.5600;0.0212;288.8885;66.0480;24.4608;0.1292;-0.1563;0.2334;0.0000;True;True;-0.3372;1.5945;0.0187;298.4982;282.9570;11.3399;0.0747;0.0414;0.2932;0.0000;
6564;0.4970466;14.8083;1.5283;0.0799;9.0783;269.7304;1.9787;True;True;0.4581;1.5588;0.0234;289.1924;66.4147;24.3302;0.0436;-0.1084;0.2143;0.0000;True;True;-0.3363;1.5946;0.0208;298.3746;283.0062;11.2993;0.0965;0.0043;0.1863;0.0000;
6566;0.5290822;14.8063;1.5281;0.0791;9.2786;269.5302;2.1071;True;True;0.4577;1.5585;0.0258;289.3719;65.9158;24.6957;-0.0595;-0.0177;0.2425;0.0000;True;True;-0.3358;1.5944;0.0224;297.8502;282.2278;11.7674;0.0289;-0.0311;0.1576;0.0000;
6568;0.559492;14.8037;1.5291;0.0776;9.2718;268.8033;2.2097;True;True;0.4569;1.5588;0.0284;289.1084;66.3571;24.2164;-0.0866;0.0484;0.2681;0.0000;True;True;-0.3362;1.5942;0.0240;297.4578;281.5916;12.2996;-0.0733;-0.0081;0.1683;0.0000;
6570;0.5892227;14.8004;1.5302;0.0748;8.9231;267.2548;2.1235;True;True;0.4564;1.5597;0.0319;288.8510;67.6412;22.7625;-0.0265;0.0882;0.3835;0.0000;True;True;-0.3392;1.5939;0.0264;296.8762;280.5693;13.0548;-0.4011;-0.0377;0.2643;0.0000;
6572;0.6185429;14.7969;1.5326;0.0706;9.1903;264.4981;2.3202;True;True;0.4572;1.5613;0.0373;288.8472;69.1056;21.7592;0.1131;0.1725;0.5661;0.0000;True;True;-0.3465;1.5916;0.0297;298.1366;280.8734;12.5822;-0.7849;-0.2930;0.3217;0.0000;
6574;0.6477975;14.7930;1.5358;0.0659;10.0024;260.8752;2.1217;True;True;0.4599;1.5620;0.0435;289.4266;72.7848;18.1572;0.3063;0.0033;0.6392;0.0000;True;True;-0.3587;1.5826;0.0322;300.8212;284.2499;8.6528;-1.2690;-1.0871;0.2066;0.0000;
6576;0.6755632;14.7856;1.5407;0.0625;9.7256;257.0804;2.2296;True;True;0.4645;1.5590;0.0527;291.4615;76.9986;12.9157;0.5045;-0.4414;1.0530;0.0000;True;True;-0.3770;1.5636;0.0331;301.8084;287.2538;3.6991;-1.9649;-2.1389;0.0655;0.0000;
6578;0.7035731;14.7744;1.5439;0.0601;7.3853;253.8576;3.6449;True;True;0.4681;1.5493;0.0686;295.7098;76.7264;10.3255;0.2987;-1.1840;1.7654;0.0000;True;True;-0.4007;1.5290;0.0361;304.4634;286.4553;359.9429;-2.4063;-3.9331;0.5057;0.0000;
6580;0.7322655;14.7627;1.5419;0.0592;5.1536;251.0837;5.1199;True;True;0.4615;1.5251;0.0969;295.3215;75.8387;12.2780;-1.1115;-2.9022;3.2131;0.0000;True;True;-0.4213;1.4779;0.0499;314.5948;296.5953;351.6804;-1.8453;-5.5120;1.6626;0.0000;
6582;0.7602542;14.7512;1.5374;0.0588;5.7443;248.9782;5.7703;True;True;0.4441;1.4880;0.1303;291.4111;54.8283;37.9741;-1.8023;-3.8723;3.1838;0.0000;True;True;-0.4284;1.4078;0.0704;326.9939;309.6697;345.2518;-0.3317;-7.4892;2.0651;0.0000;
6584;0.7882655;14.7359;1.5284;0.0555;6.1287;247.3570;5.1860;True;True;0.4253;1.4482;0.1537;296.2192;42.2847;45.0811;-1.9178;-4.0615;2.0766;0.0000;True;True;-0.4217;1.3292;0.0927;335.2687;313.3599;342.6104;1.0195;-7.8887;2.3094;0.0000;
6586;0.8163731;14.7173;1.5182;0.0481;5.0807;246.4286;3.9208;True;True;0.4036;1.4057;0.1741;300.5617;38.0077;43.2948;-2.2621;-4.2954;2.0509;0.0000;True;True;-0.4067;1.2550;0.1195;340.8916;317.0310;340.1284;1.5530;-7.2008;2.7758;0.0000;
6588;0.8442236;14.6968;1.5057;0.0376;4.9196;245.8996;3.4259;True;True;0.3803;1.3637;0.1888;301.4652;31.7642;50.5925;-2.2430;-4.0562;1.2053;0.0000;True;True;-0.3893;1.1934;0.1516;346.2601;320.3857;342.9390;1.6760;-5.8688;3.2452;0.0000;
6590;0.8723995;14.6743;1.4913;0.0219;5.7758;245.6048;2.6161;True;True;0.3638;1.3283;0.1939;301.2450;28.7509;53.2493;-1.4124;-3.4140;0.2880;0.0000;True;True;-0.3757;1.1418;0.1869;349.1542;323.9444;344.4832;1.1896;-4.8122;3.7121;0.0000;
6592;0.90034;14.6465;1.4765;0.0009;5.2400;245.5686;2.2584;True;True;0.3544;1.3008;0.1943;302.3874;30.6240;50.8522;-0.7757;-2.5124;-0.0758;0.0000;True;True;-0.3703;1.1094;0.2258;350.6831;324.0227;344.0768;0.3396;-2.7368;3.8573;0.0000;
6594;0.9283394;14.6159;1.4616;-0.0239;4.4824;245.8506;3.2775;True;True;0.3526;1.2818;0.1903;303.2442;34.0949;48.0560;-0.0105;-1.7037;-0.4580;0.0000;True;True;-0.3767;1.0946;0.2682;346.9023;325.8813;346.6773;-0.9022;-1.2169;4.4544;0.0000;
6596;0.9563864;14.5837;1.4476;-0.0538;5.2137;245.4302;3.2301;True;True;0.3564;1.2712;0.1829;302.7752;39.9787;46.6442;0.4511;-0.9742;-0.8191;0.0000;True;True;-0.3981;1.0950;0.3213;341.4641;325.8914;341.5547;-2.3833;0.3481;5.3689;0.0000;
6598;0.9837419;14.5481;1.4352;-0.0877;5.7213;244.7406;3.4195;True;True;0.3645;1.2662;0.1700;302.9485;47.7896;45.1092;0.8942;-0.3387;-1.4950;0.0000;True;True;-0.4328;1.1076;0.3784;334.4857;323.7901;340.5030;-3.8221;1.4949;5.8944;0.0000;
6600;1.012052;14.5087;1.4240;-0.1253;4.7715;244.0555;3.8855;True;True;0.3733;1.2642;0.1488;304.0933;60.7585;40.0028;0.8249;-0.1590;-2.3128;0.0000;True;True;-0.4805;1.1259;0.4441;327.5450;318.0372;342.5428;-5.0400;1.8912;6.8216;0.0000;
6602;1.03985;14.4681;1.4123;-0.1644;3.8120;244.1519;3.2276;True;True;0.3768;1.2622;0.1201;307.1726;74.4135;34.2131;0.1538;-0.2387;-3.0700;0.0000;True;True;-0.5376;1.1447;0.5201;324.3180;311.0424;346.7807;-5.8834;1.7990;7.8470;0.0000;
6604;1.067608;14.4248;1.3982;-0.2044;1.7294;245.3163;3.4810;True;True;0.3688;1.2574;0.0844;309.1048;88.0865;29.2872;-1.1675;-0.5765;-3.6954;0.0000;True;True;-0.6032;1.1577;0.6057;326.9976;306.1534;346.6366;-6.7539;1.0843;8.7013;0.0000;
6606;1.097076;14.3831;1.3804;-0.2445;358.3840;246.9041;3.0716;True;True;0.3422;1.2494;0.0480;306.2086;101.0069;28.3631;-3.2866;-0.8322;-3.5582;0.0000;True;True;-0.6704;1.1563;0.6914;334.2497;304.3962;339.9925;-6.6873;-0.6964;8.4319;0.0000;
6608;1.123144;14.3461;1.3583;-0.2822;356.1877;249.1559;1.2432;True;True;0.3027;1.2414;0.0130;301.0060;113.2924;23.6621;-4.4383;-0.8475;-3.5130;0.0000;True;True;-0.7276;1.1279;0.7644;345.7371;306.1537;324.0295;-5.3151;-3.6442;6.6398;0.0000;
6610;1.151225;14.3147;1.3351;-0.3159;356.8582;251.3858;0.1706;True;True;0.2584;1.2283;-0.0180;300.2727;130.6770;9.9123;-4.4712;-1.5259;-2.9222;0.0000;True;True;-0.7626;1.0873;0.7971;357.4791;303.1789;305.1330;-2.7601;-3.6682;2.2663;0.0000;
6612;1.193274;14.2748;1.3162;-0.3552;359.5249;253.2152;0.9709;True;True;0.1925;1.1928;-0.0440;301.3664;140.9929;3.6871;-4.2763;-2.6401;-1.3633;0.0000;True;True;-0.7734;1.0329;0.8212;353.8427;306.4114;308.5642;-0.2438;-4.3345;1.8848;0.0000;
