Frame;Tiempo;ID_Bola;Estatus;Posicion_Bola_x;Posicion_Bola_y;Posicion_Bola_z
36930;0.0557;1;En movimiento;7.8495;1.1572;-0.0193
36935;0.1252;1;En movimiento;8.2028;1.1558;-0.0229
36940;0.1963;1;En movimiento;8.5586;1.1432;-0.0264
36945;0.2627;1;En movimiento;8.9093;1.1370;-0.0299
36950;0.3357;1;En movimiento;9.2754;1.1295;-0.0335
36955;0.4018;1;En movimiento;9.6352;1.1418;-0.0371
36960;0.4711;1;En movimiento;9.9842;1.1168;-0.0405
36965;0.5431;1;En movimiento;10.3383;1.1101;-0.0440
36970;0.6111;1;En movimiento;10.7112;1.1037;-0.0477
36975;0.6808;1;En movimiento;11.0519;1.0971;-0.0511
36980;0.7498;1;En movimiento;11.4117;1.1257;-0.0547
36985;0.8195;1;En movimiento;11.7685;1.1225;-0.0582
36990;0.8886;1;En movimiento;12.1258;1.1194;-0.0618
36995;0.9604;1;En movimiento;12.4778;1.0281;-0.0653
37000;1.0275;1;En movimiento;12.8310;1.0663;-0.0688
37005;1.0964;1;En movimiento;13.1880;1.0603;-0.0723
37010;1.1669;1;En movimiento;13.5502;1.0543;-0.0759
37013;1.2081;1;Parada;13.8335;1.1612;-0.0787
37085;2.2079;2;En movimiento;17.6300;0.0000;0.0000
37090;2.2769;2;En movimiento;8.3057;1.1563;2.2701
37095;2.3463;2;En movimiento;8.7338;1.1591;2.1405
37100;2.4153;2;En movimiento;9.1189;1.1486;2.0239
37105;2.4848;2;En movimiento;9.5289;1.1585;1.8998
37110;2.5555;2;En movimiento;9.9527;1.1416;1.7714
37115;2.6238;2;En movimiento;10.3448;1.1385;1.6527
37120;2.6938;2;En movimiento;10.7562;1.1351;1.5282
37125;2.7636;2;En movimiento;11.1657;1.1317;1.4042
37130;2.8329;2;En movimiento;11.5745;1.1284;1.2804
37135;2.9016;2;En movimiento;11.9765;1.1250;1.1587
37140;2.9721;2;En movimiento;12.3906;1.1219;1.0333
37145;3.0413;2;En movimiento;12.7961;1.1187;0.9105
37150;3.1110;2;En movimiento;13.2033;1.1157;0.7872
37155;3.1834;2;En movimiento;13.6148;1.1127;0.6627
37158;3.2232;2;Parada;13.9465;1.2063;0.5622
37160;3.2513;3;En movimiento;7.8509;1.1589;0.9153
37165;3.3194;3;En movimiento;8.2198;1.1737;0.8232
37170;3.3922;3;En movimiento;8.5992;1.1879;0.7284
37175;3.4579;3;En movimiento;8.9664;1.2027;0.6367
37180;3.5269;3;En movimiento;9.3503;1.2180;0.5408
37185;3.5977;3;En movimiento;9.7150;1.2321;0.4497
37190;3.6674;3;En movimiento;10.0893;1.2469;0.3563
37195;3.7357;3;En movimiento;10.4638;1.2618;0.2627
37200;3.8052;3;En movimiento;10.8433;1.3056;0.1679
37205;3.8748;3;En movimiento;11.2159;1.3237;0.0749
37210;3.9428;3;En movimiento;11.5904;1.3420;-0.0187
37215;4.0147;3;En movimiento;11.9598;1.3225;-0.1109
37220;4.0814;3;En movimiento;12.3488;1.3793;-0.2081
37225;4.1512;3;En movimiento;12.7003;1.3524;-0.2959
37230;4.2244;3;En movimiento;13.0806;1.3682;-0.3909
37230;4.2244;4;En movimiento;7.4777;1.1656;-0.0076
37235;4.2906;3;En movimiento;13.4599;1.3839;-0.4856
37235;4.2906;4;En movimiento;7.9087;1.1648;-0.0292
37240;4.3597;3;En movimiento;13.8451;1.4536;-0.5818
37240;4.3597;4;En movimiento;8.3464;1.1718;-0.0512
37240;4.3597;3;Parada;13.9042;1.4026;-0.5966
37245;4.4323;4;En movimiento;8.7544;1.1631;-0.0717
37250;4.4989;4;En movimiento;9.1855;1.1769;-0.0934
37255;4.5689;4;En movimiento;9.6153;1.1797;-0.1150
37260;4.6379;4;En movimiento;10.0314;1.1621;-0.1359
37265;4.7081;4;En movimiento;10.4716;1.1854;-0.1580
37270;4.7765;4;En movimiento;10.8883;1.1614;-0.1789
37275;4.8468;4;En movimiento;11.3082;1.1609;-0.2000
37280;4.9166;4;En movimiento;11.7328;1.1606;-0.2214
37285;4.9861;4;En movimiento;12.1651;1.1606;-0.2431
37290;5.0545;4;En movimiento;12.5815;1.1610;-0.2640
37295;5.1239;4;En movimiento;13.0239;1.2037;-0.2862
37300;5.1936;4;En movimiento;13.4513;1.2069;-0.3077
37305;5.2624;4;En movimiento;13.8581;1.1610;-0.3281
37306;5.2802;4;Parada;14.0511;1.2619;-0.3378
37380;6.3029;5;En movimiento;5.1006;1.1546;-1.0766
37385;6.3750;5;En movimiento;5.6120;1.1443;-1.0527
37390;6.4435;5;En movimiento;6.1290;1.1356;-1.0284
37395;6.5125;5;En movimiento;6.6398;1.1269;-1.0045
37400;6.5819;5;En movimiento;7.1580;1.1184;-0.9802
37405;6.6528;5;En movimiento;7.7028;1.1282;-0.9547
37410;6.7202;5;En movimiento;8.2026;1.1235;-0.9313
37415;6.7923;5;En movimiento;8.6945;1.0684;-0.9082
37420;6.8612;5;En movimiento;9.2169;1.0848;-0.8837
37425;6.9289;5;En movimiento;9.7489;1.1084;-0.8588
37430;6.9983;5;En movimiento;10.2513;1.0691;-0.8353
37435;7.0711;5;En movimiento;10.7709;1.0228;-0.8109
37440;7.1373;5;En movimiento;11.2898;1.0530;-0.7866
37445;7.2076;5;En movimiento;11.8014;1.0450;-0.7626
37450;7.2811;5;En movimiento;12.3121;0.9895;-0.7387
37450;7.2811;6;En movimiento;7.8206;1.1563;3.6782
37455;7.3448;5;En movimiento;12.8245;1.0797;-0.7147
37455;7.3448;6;En movimiento;8.2406;1.1827;3.4587
37460;7.4149;5;En movimiento;13.3431;1.0750;-0.6904
37460;7.4149;6;En movimiento;8.6656;1.2079;3.2366
37465;7.4850;5;En movimiento;13.8688;1.0704;-0.6658
37465;7.4850;6;En movimiento;9.0964;1.2336;3.0115
37465;7.4850;5;Parada;13.9614;1.1265;-0.6614
37470;7.5570;6;En movimiento;9.5093;1.2436;2.7958
37475;7.6215;6;En movimiento;9.9316;1.2661;2.5751
37480;7.6929;6;En movimiento;10.3621;1.3088;2.3502
37485;7.7621;6;En movimiento;10.7846;1.3105;2.1295
37490;7.8315;6;En movimiento;11.1956;1.3316;1.9147
37495;7.9000;6;En movimiento;11.6122;1.3837;1.6970
37500;7.9707;6;En movimiento;12.0622;1.4106;1.4619
37505;8.0391;6;En movimiento;12.4592;1.4345;1.2544
37510;8.1111;6;En movimiento;12.8813;1.3807;1.0339
37515;8.1789;6;En movimiento;13.3053;1.4431;0.8123
37520;8.2482;6;En movimiento;13.7461;1.5124;0.5820
37525;8.3204;6;En movimiento;14.1478;1.4384;0.3721
37525;8.3204;6;Parada;14.2327;1.6214;0.3396
