USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
22;HGTrainer;2025-03-10 21:45:28;149.5974;116;96;20;0;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/22/TrackingData/OculusTracking_20250331_214528.csv;Default;Progressive2;Handball;7;20;;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,1,3,3,1,1,1,2,3,1,1,1,1,1,1,1,1,2,2,2,1,1,3,1,3,1,1,2,2,2,1,1,2,1,3,1,2,2,1,1,3,1,2,2,1,1,2,2,3,1,2,1,2,3,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,2,2,1,2,2,1,3,1,1,1,2,1,2,1,2;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116;(8.27, 1.16, 5.05),(7.72, 1.16, 3.04),(7.88, 1.16, -3.88),(7.63, 1.16, 0.50),(8.00, 1.17, -2.99),(8.20, 1.17, -2.23),(7.61, 1.15, 3.59),(7.57, 1.15, -3.75),(4.79, 1.16, -0.38),(7.64, 1.15, 3.74),(4.77, 1.15, -0.19),(7.49, 1.16, 4.07),(7.82, 1.15, 2.88),(8.27, 1.15, 2.11),(7.80, 1.15, 4.03),(7.68, 1.17, 3.26),(7.67, 1.15, 0.21),(7.91, 1.15, -3.33),(4.60, 1.15, -0.39),(7.59, 1.15, 3.93),(7.91, 1.16, 3.04),(7.73, 1.15, -4.09),(4.66, 1.15, -0.65),(4.63, 1.15, -2.08),(7.73, 1.16, -4.00),(7.77, 1.17, -0.68),(7.71, 1.15, 3.76),(4.78, 1.15, -1.19),(4.80, 1.15, -0.24),(4.65, 1.15, -1.71),(8.00, 1.15, 2.81),(7.83, 1.17, 0.34),(4.95, 1.16, -1.11),(8.09, 1.15, 3.00),(7.62, 1.15, -0.60),(7.79, 1.15, -0.06),(8.00, 1.15, 2.48),(4.75, 1.17, -1.89),(4.99, 1.16, -0.10),(7.90, 1.15, -3.48),(7.51, 1.15, 4.01),(4.65, 1.15, -0.93),(4.66, 1.17, -0.47),(7.41, 1.17, -4.73),(7.42, 1.17, 4.12),(8.02, 1.16, 2.44),(7.50, 1.17, -0.34),(8.37, 1.15, 1.78),(4.84, 1.16, -1.53),(8.30, 1.15, 2.14),(7.70, 1.17, 3.69),(7.86, 1.17, -3.83),(4.72, 1.17, -1.68),(7.74, 1.15, 3.25),(7.60, 1.16, 0.15),(7.84, 1.15, -3.57),(7.81, 1.17, -3.68),(4.74, 1.17, -0.74),(7.62, 1.17, -0.49),(7.97, 1.16, -3.04),(4.66, 1.15, -1.79),(7.66, 1.15, -3.52),(7.88, 1.15, 0.70),(8.12, 1.15, -2.45),(4.80, 1.15, -2.07),(4.90, 1.15, -0.82),(7.54, 1.15, -4.51),(8.29, 1.16, -2.33),(4.90, 1.15, -1.84),(8.06, 1.15, 2.59),(7.49, 1.15, 0.88),(7.55, 1.17, -0.15),(7.50, 1.17, -0.69),(7.80, 1.17, 0.57),(4.82, 1.16, -0.42),(7.47, 1.17, -4.17),(4.67, 1.15, -1.60),(7.72, 1.17, -0.28),(8.26, 1.15, -2.28),(7.90, 1.16, 3.25),(4.94, 1.15, -0.88),(7.61, 1.17, -0.78),(7.84, 1.15, 0.45),(8.05, 1.17, 2.61),(4.84, 1.16, -0.21),(7.97, 1.15, 2.98),(4.82, 1.15, -1.74),(7.45, 1.17, -0.63),(4.96, 1.15, -0.10),(7.73, 1.15, -3.46),(7.67, 1.16, -0.91),(7.74, 1.16, 3.35),(7.67, 1.17, 3.39),(7.58, 1.17, -4.46),(7.93, 1.17, 0.47),(7.61, 1.17, 0.27),(4.75, 1.15, -0.97),(7.62, 1.15, 0.23),(4.74, 1.16, -0.91),(7.61, 1.16, 3.96),(7.76, 1.17, 0.07),(7.22, 1.15, 4.51),(8.13, 1.17, 2.15),(8.00, 1.18, 3.23),(4.87, 1.15, -2.11),(7.66, 1.17, -0.38),(7.53, 1.15, -0.62),(7.86, 1.15, 3.04),(7.79, 1.17, -3.80),(7.23, 1.15, 4.78),(7.88, 1.15, 0.47),(4.78, 1.15, -0.15),(7.61, 1.16, -4.33),(4.77, 1.15, -1.71),(7.63, 1.16, -3.98),(7.80, 1.16, -3.76);LateralDerecho,LateralDerecho,LateralIzquierdo,Pivote,LateralIzquierdo,LateralIzquierdo,LateralDerecho,LateralIzquierdo,Central,LateralDerecho,Central,LateralDerecho,LateralDerecho,LateralDerecho,LateralDerecho,LateralDerecho,Pivote,LateralIzquierdo,Central,LateralDerecho,LateralDerecho,LateralIzquierdo,Central,Central,LateralIzquierdo,Pivote,LateralDerecho,Central,Central,Central,LateralDerecho,Pivote,Central,LateralDerecho,Pivote,Pivote,LateralDerecho,Central,Central,LateralIzquierdo,LateralDerecho,Central,Central,LateralIzquierdo,LateralDerecho,LateralDerecho,Pivote,LateralDerecho,Central,LateralDerecho,LateralDerecho,LateralIzquierdo,Central,LateralDerecho,Pivote,LateralIzquierdo,LateralIzquierdo,Central,Pivote,LateralIzquierdo,Central,LateralIzquierdo,Pivote,LateralIzquierdo,Central,Central,LateralIzquierdo,LateralIzquierdo,Central,LateralDerecho,Pivote,Pivote,Pivote,Pivote,Central,LateralIzquierdo,Central,Pivote,LateralIzquierdo,LateralDerecho,Central,Pivote,Pivote,LateralDerecho,Central,LateralDerecho,Central,Pivote,Central,LateralIzquierdo,Pivote,LateralDerecho,LateralDerecho,LateralIzquierdo,Pivote,Pivote,Central,Pivote,Central,LateralDerecho,Pivote,LateralDerecho,LateralDerecho,LateralDerecho,Central,Pivote,Pivote,LateralDerecho,LateralIzquierdo,LateralDerecho,Pivote,Central,LateralIzquierdo,Central,LateralIzquierdo,LateralIzquierdo;(15.75, 1.40, 0.02),(15.75, 1.25, -1.18),(15.75, 1.75, -0.02),(15.75, 1.15, 0.72),(15.75, 1.74, 0.57),(15.75, 1.30, -0.53),(15.75, 1.27, 0.15),(15.75, 1.30, 0.50),(15.75, 1.32, 0.52),(15.75, 1.64, -0.07),(15.75, 1.27, -1.09),(15.75, 1.36, -1.06),(15.75, 1.19, 0.00),(15.75, 1.27, 1.19),(15.75, 1.92, -1.08),(15.75, 1.36, 0.07),(15.75, 1.80, 1.20),(15.75, 1.25, 1.22),(15.75, 1.15, -0.69),(15.75, 1.40, 0.72),(15.75, 1.21, 0.59),(15.75, 1.43, 0.16),(15.75, 1.42, -1.18),(15.75, 1.33, -1.09),(15.75, 1.25, 0.64),(15.75, 1.65, 0.75),(15.75, 1.21, 0.62),(15.75, 1.43, 0.00),(15.75, 1.32, -0.61),(15.75, 1.64, 1.11),(15.75, 1.16, 1.26),(15.75, 1.34, 0.08),(15.75, 1.92, -0.49),(15.75, 1.33, -1.26),(15.75, 1.26, 0.50),(15.75, 1.69, -1.22),(15.75, 1.36, -1.02),(15.75, 1.82, 1.36),(15.75, 1.14, -0.53),(15.75, 1.84, -0.55),(15.75, 1.92, -0.48),(15.75, 1.86, -1.18),(15.75, 1.69, 1.13),(15.75, 1.90, 1.11),(15.75, 1.68, -0.45),(15.75, 1.16, -0.50),(15.75, 1.37, -0.71),(15.75, 1.18, -0.42),(15.75, 1.86, -1.20),(15.75, 1.76, -0.50),(15.75, 1.20, -0.63),(15.75, 1.33, 0.17),(15.75, 1.84, -1.11),(15.75, 1.30, -0.07),(15.75, 1.89, -0.02),(15.75, 1.76, 0.52),(15.75, 1.67, -0.01),(15.75, 1.32, -1.04),(15.75, 1.26, 1.30),(15.75, 1.14, -1.12),(15.75, 1.18, -0.62),(15.75, 1.31, 0.07),(15.75, 1.35, -0.54),(15.75, 1.29, 1.22),(15.75, 1.28, 0.15),(15.75, 1.41, 1.38),(15.75, 1.70, 1.09),(15.75, 1.80, -0.60),(15.75, 1.66, -0.43),(15.75, 1.36, 0.18),(15.75, 1.67, 0.12),(15.75, 1.76, -1.27),(15.75, 1.82, 0.51),(15.75, 1.65, 1.10),(15.75, 1.14, -0.62),(15.75, 1.14, 0.74),(15.75, 1.16, 1.11),(15.75, 1.71, -0.55),(15.75, 1.14, 0.03),(15.75, 1.77, 0.02),(15.75, 1.65, 0.68),(15.75, 1.16, 0.72),(15.75, 1.87, -1.13),(15.75, 1.20, 0.02),(15.75, 1.37, 1.13),(15.75, 1.68, -0.71),(15.75, 1.39, 1.19),(15.75, 1.41, -0.43),(15.75, 1.36, 0.50),(15.75, 1.71, 0.74),(15.75, 1.74, 1.29),(15.75, 1.92, -1.14),(15.75, 1.63, 0.50),(15.75, 1.87, -0.11),(15.75, 1.86, 0.15),(15.75, 1.20, 0.09),(15.75, 1.69, -0.43),(15.75, 1.73, 1.10),(15.75, 1.41, 1.08),(15.75, 1.28, -1.31),(15.75, 1.80, 0.17),(15.75, 1.82, -0.09),(15.75, 1.89, 0.54),(15.75, 1.30, -0.43),(15.75, 1.26, -1.15),(15.75, 1.14, -1.24),(15.75, 1.35, 1.20),(15.75, 1.13, -0.53),(15.75, 1.39, 0.16),(15.75, 1.82, -1.23),(15.75, 1.84, 1.34),(15.75, 1.35, 0.72),(15.75, 1.68, -1.29),(15.75, 1.38, -1.05),(15.75, 1.68, 0.49),(15.75, 1.14, -0.53);CentroBajo,BajoIzquierda,Centro,CentroDerechaBajo,CentroDerecha,CentroIzquierdaBajo,CentroBajo,CentroDerechaBajo,CentroDerechaBajo,Centro,BajoIzquierda,BajoIzquierda,CentroBajo,BajoDerecha,EscuadraIzquierda,CentroBajo,EscuadraDerecha,BajoDerecha,CentroIzquierdaBajo,CentroDerechaBajo,CentroDerechaBajo,CentroBajo,BajoIzquierda,BajoIzquierda,CentroDerechaBajo,CentroDerecha,CentroDerechaBajo,CentroBajo,CentroIzquierdaBajo,EscuadraDerecha,BajoDerecha,CentroBajo,CentroIzquierda,BajoIzquierda,CentroDerechaBajo,EscuadraIzquierda,BajoIzquierda,EscuadraDerecha,CentroIzquierdaBajo,CentroIzquierda,CentroIzquierda,EscuadraIzquierda,EscuadraDerecha,EscuadraDerecha,CentroIzquierda,CentroIzquierdaBajo,CentroIzquierdaBajo,CentroIzquierdaBajo,EscuadraIzquierda,CentroIzquierda,CentroIzquierdaBajo,CentroBajo,EscuadraIzquierda,CentroBajo,Centro,CentroDerecha,Centro,BajoIzquierda,BajoDerecha,BajoIzquierda,CentroIzquierdaBajo,CentroBajo,CentroIzquierdaBajo,BajoDerecha,CentroBajo,BajoDerecha,EscuadraDerecha,CentroIzquierda,CentroIzquierda,CentroBajo,Centro,EscuadraIzquierda,CentroDerecha,EscuadraDerecha,CentroIzquierdaBajo,CentroDerechaBajo,BajoDerecha,CentroIzquierda,CentroBajo,Centro,CentroDerecha,CentroDerechaBajo,EscuadraIzquierda,CentroBajo,BajoDerecha,CentroIzquierda,BajoDerecha,CentroIzquierdaBajo,CentroDerechaBajo,CentroDerecha,EscuadraDerecha,EscuadraIzquierda,CentroDerecha,Centro,Centro,CentroBajo,CentroIzquierda,EscuadraDerecha,BajoDerecha,BajoIzquierda,Centro,Centro,CentroDerecha,CentroIzquierdaBajo,BajoIzquierda,BajoIzquierda,BajoDerecha,CentroIzquierdaBajo,CentroBajo,EscuadraIzquierda,EscuadraDerecha,CentroDerechaBajo,EscuadraIzquierda,BajoIzquierda,CentroDerecha,CentroIzquierdaBajo;Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Parada,Parada,Parada,Parada,Parada,Gol recibido,Parada,Gol recibido,Gol recibido,Parada,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido,Parada,Parada,Gol recibido,Gol recibido,Parada,Gol recibido,Gol recibido,Parada,Gol recibido;No parada,LeftHand,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,LeftHand,RightHand,RightHand,No parada,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,LeftHand,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,No parada,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,No parada,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,LeftHand,RightHand,RightHand,LeftHand,LeftHand,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,No parada,LeftHand,RightHand,RightHand,RightHand,RightHand,RightHand,RightHand,No parada,RightHand,RightHand,RightHand,LeftHand,RightHand,No parada,RightHand,RightForearm,RightHand,LeftHand,RightHand,RightHand,RightHand,RightHand,LeftHand,RightForearm,No parada,No parada,RightHand,RightHand,RightHand,RightHand,RightHand,No parada,RightHand,No parada,No parada,RightHand,RightHand,RightHand,RightHand,LeftHand,No parada,No parada,RightHand,RightForearm,LeftHand,LeftHand,No parada,Trunk,LeftHand,No parada,No parada,RightHand,No parada,No parada,RightHand,No parada;0.260986,3.119962,6.189766,9.141054,11.983718,14.731994,17.412422,19.954423,22.355487,24.61968,26.703518,28.717718,30.675569,32.469532,34.161999,35.662839,37.081139,38.441055,39.772426,41.467199,42.855918,44.065227,45.383385,47.090198,48.758792,50.090619,51.20198,52.564988,54.089865,55.618768,57.284407,58.590925,59.632445,61.163143,62.326607,63.382622,64.410357,65.491287,67.326174,68.743105,69.831474,71.089649,72.532719,74.06516,75.284579,76.491501,77.534233,78.561946,79.51983,80.84109,81.811748,82.867383,83.949952,85.295407,86.40798,87.366873,88.421903,89.504484,90.795875,91.784256,92.961961,94.267551,95.282421,96.185939,97.187619,98.476819,99.714125,100.83678,101.961035,103.172172,104.15687,105.114889,106.06184,106.976717,108.044148,109.196805,110.187437,111.391316,112.243773,113.099818,114.058588,115.225955,116.114018,116.96139,117.864058,119.239029,120.32042,121.502817,122.3488,123.43294,124.364002,125.237126,126.376058,127.27785,128.445155,129.445614,130.267251,131.389847,132.264702,133.390394,134.33439,135.320477,136.50096,137.291688,138.127157,139.179433,140.001698,141.012875,141.847654,142.69633,143.860394,144.80474,145.807834,146.791032,147.957814,148.833179;1.803609,4.397382,7.328559,10.244651,13.161024,15.773074,18.688592,21.202176,23.799635,25.868441,28.203025,29.9665,31.826766,33.704709,35.436705,36.714767,38.187165,39.57646,41.270513,42.659847,43.867652,45.187249,46.89208,48.560554,49.894144,51.005306,52.36677,53.893896,55.422584,57.087834,58.384426,59.436026,60.962661,62.129589,63.185428,64.213581,65.295928,67.117584,68.545561,69.629932,70.892058,72.337023,73.865315,75.087119,76.295324,77.336746,78.364104,79.321655,80.641469,81.614333,82.67017,83.75361,85.086935,86.211459,87.168813,88.211926,89.307797,90.599117,91.585873,92.75472,94.071578,95.085901,95.988233,96.988467,98.279455,99.515869,100.640666,101.754057,102.974263,103.96009,104.91876,105.863476,106.78056,107.835162,109.000367,109.987247,111.194725,112.042107,112.903557,113.862629,115.028595,115.917394,116.764499,117.667535,119.030695,120.113273,121.305188,122.152812,123.236367,124.166836,125.027902,126.168101,127.069257,128.237544,129.236898,130.069611,131.19412,132.054985,133.193514,134.137834,135.111853,136.292637,137.095634,137.929144,138.985003,139.804123,140.80526,141.651144,142.498441,143.651904,144.59705,145.609348,146.58567,147.749978,148.637351,149.597086

USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
22;HGTrainer;2025-03-10 21:53:40;60.65133;47;26;21;0;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/22/TrackingData/OculusTracking_20250331_215340.csv;Default;PerTime;Handball;8;;60;1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47;(7.63, 1.16, -0.02),(7.90, 1.16, 2.39),(7.63, 1.15, 0.97),(7.39, 1.17, 0.00),(4.79, 1.16, -1.09),(7.74, 1.15, 3.72),(7.80, 1.17, 3.10),(4.74, 1.15, -1.87),(7.75, 1.16, -4.30),(7.72, 1.17, 3.61),(8.19, 1.17, 2.04),(4.81, 1.15, -0.22),(7.59, 1.17, 4.40),(7.59, 1.15, 0.26),(7.65, 1.15, -4.17),(4.77, 1.15, -1.30),(8.33, 1.16, 1.89),(4.70, 1.15, -0.17),(8.04, 1.17, 2.81),(7.75, 1.17, 0.42),(8.28, 1.16, 2.06),(7.91, 1.15, -3.33),(4.66, 1.15, -1.93),(4.92, 1.15, -0.30),(7.69, 1.15, 4.15),(7.60, 1.15, -4.24),(4.73, 1.15, -0.83),(7.55, 1.16, -4.73),(7.75, 1.15, -1.05),(4.78, 1.15, -0.90),(7.63, 1.17, 0.69),(8.14, 1.15, 2.47),(7.64, 1.15, 4.37),(7.89, 1.17, 2.74),(4.88, 1.15, -0.48),(7.48, 1.16, -0.58),(7.68, 1.15, 4.19),(4.67, 1.15, -0.23),(7.85, 1.16, 3.00),(7.68, 1.17, 3.68),(7.72, 1.15, -0.67),(7.66, 1.17, -0.35),(4.65, 1.16, -1.47),(7.76, 1.15, -4.18),(8.09, 1.17, -2.48),(8.35, 1.15, 1.85),(7.96, 1.16, -2.28);Pivote,LateralDerecho,Pivote,Pivote,Central,LateralDerecho,LateralDerecho,Central,LateralIzquierdo,LateralDerecho,LateralDerecho,Central,LateralDerecho,Pivote,LateralIzquierdo,Central,LateralDerecho,Central,LateralDerecho,Pivote,LateralDerecho,LateralIzquierdo,Central,Central,LateralDerecho,LateralIzquierdo,Central,LateralIzquierdo,Pivote,Central,Pivote,LateralDerecho,LateralDerecho,LateralDerecho,Central,Pivote,LateralDerecho,Central,LateralDerecho,LateralDerecho,Pivote,Pivote,Central,LateralIzquierdo,LateralIzquierdo,LateralDerecho,LateralIzquierdo;(15.75, 1.23, -0.10),(15.75, 1.28, 0.02),(15.75, 1.69, -1.06),(15.75, 1.35, -0.42),(15.75, 1.19, -0.58),(15.75, 1.75, -0.47),(15.75, 1.83, 0.10),(15.75, 1.28, -0.52),(15.75, 1.16, -0.54),(15.75, 1.88, -0.52),(15.75, 1.80, 0.56),(15.75, 1.20, 0.66),(15.75, 1.63, 1.14),(15.75, 1.76, 1.09),(15.75, 1.20, 0.01),(15.75, 1.23, -1.15),(15.75, 1.79, -0.55),(15.75, 1.29, -0.46),(15.75, 1.41, -0.09),(15.75, 1.21, 1.18),(15.75, 1.23, 0.67),(15.75, 1.24, 0.11),(15.75, 1.17, 0.63),(15.75, 1.27, 0.09),(15.75, 1.27, 1.15),(15.75, 1.67, 0.78),(15.75, 1.35, 0.17),(15.75, 1.20, 1.18),(15.75, 1.93, -1.18),(15.75, 1.27, 1.15),(15.75, 1.66, -0.57),(15.75, 1.30, 1.30),(15.75, 1.92, -0.44),(15.75, 1.26, 1.30),(15.75, 1.30, -0.66),(15.75, 1.22, -0.03),(15.75, 1.69, 0.13),(15.75, 1.80, -0.53),(15.75, 1.73, -0.06),(15.75, 1.16, 0.60),(15.75, 1.82, -0.58),(15.75, 1.20, 0.75),(15.75, 1.73, -0.09),(15.75, 1.77, -1.04),(15.75, 1.37, -1.16),(15.75, 1.68, -0.05),(15.75, 1.68, -0.47);CentroBajo,CentroBajo,EscuadraIzquierda,CentroIzquierdaBajo,CentroIzquierdaBajo,CentroIzquierda,Centro,CentroIzquierdaBajo,CentroIzquierdaBajo,CentroIzquierda,CentroDerecha,CentroDerechaBajo,EscuadraDerecha,EscuadraDerecha,CentroBajo,BajoIzquierda,CentroIzquierda,CentroIzquierdaBajo,CentroBajo,BajoDerecha,CentroDerechaBajo,CentroBajo,CentroDerechaBajo,CentroBajo,BajoDerecha,CentroDerecha,CentroBajo,BajoDerecha,EscuadraIzquierda,BajoDerecha,CentroIzquierda,BajoDerecha,CentroIzquierda,BajoDerecha,CentroIzquierdaBajo,CentroBajo,Centro,CentroIzquierda,Centro,CentroDerechaBajo,CentroIzquierda,CentroDerechaBajo,Centro,EscuadraIzquierda,BajoIzquierda,Centro,CentroIzquierda;Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Parada,Gol recibido,Gol recibido,Gol recibido,Parada,Parada,Parada,Gol recibido,Gol recibido,Parada,Parada,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Parada,Gol recibido,Gol recibido,Parada,Parada,Parada,Parada,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Gol recibido,Parada,Gol recibido;RightHand,RightHand,LeftHand,LeftHand,LeftHand,RightHand,RightHand,LeftHand,LeftHand,RightHand,RightHand,RightHand,No parada,No parada,LeftForearm,LeftHand,No parada,RightHand,No parada,No parada,No parada,LeftHand,RightForearm,RightForearm,No parada,No parada,RightHand,RightHand,No parada,No parada,No parada,No parada,RightHand,No parada,No parada,RightHand,RightHand,LeftHand,RightHand,No parada,No parada,No parada,No parada,No parada,No parada,RightHand,No parada;0.012236,2.208186,3.208075,4.208547,6.262731,7.262983,9.289518,11.14156,12.141405,13.999648,15.720278,17.307595,19.137356,20.137532,21.136814,22.780717,24.55331,25.553428,27.330865,28.318548,29.31963,30.330812,31.845593,33.486115,35.081198,36.081245,37.082392,38.612942,40.06702,41.055974,42.054426,43.055286,44.056362,45.414886,46.414983,47.414985,48.665422,49.947747,51.34723,52.553983,53.554014,54.554634,55.555284,56.554199,57.554124,58.554,59.651629;1.219951,3.233927,4.372663,5.289049,7.496878,8.330519,10.191829,12.330017,13.066745,14.789096,16.385979,18.219764,19.944389,20.970078,21.886478,23.663713,25.276497,26.45531,28.068643,28.998496,29.971023,30.996884,32.649402,34.247117,35.749691,36.860757,37.803037,39.261275,40.651311,41.901062,42.651618,43.623642,44.650628,45.972305,47.194301,47.914198,49.205657,50.622654,51.83071,53.110765,54.083577,55.084265,56.276633,57.110721,58.054593,58.970745,60.165784

USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
22;HGTrainer;2025-03-10 21:55:38;59.96007;0;0;0;60;/storage/emulated/0/Android/data/com.RehabImmersive.HGTrainer/HGTrainer/22/TrackingData/OculusTracking_20250331_215538.csv;Default;LightsReaction2;Handball;9;;60;;;;;;;;;;

USER;GAME;DATE;TIME;LANZAMIENTOS_GENERADOS;PARADAS;GOLES;N_LUCES;TRACKING_FILE;MODE;LEVEL;K_HANDBALLADAPTED;IDEJERCICIO;GOLESOBJETIVO;TIEMPOOBJETIVO;TIPO_BOLA;ID_BOLA;PUNTO_INICIAL_BOLA;ID_PUNTO_INICIAL_BOLA;PUNTO_FINAL_BOLA;ID_PUNTO_FINAL_BOLA;PARADA_BOLA;MANO_PARADA;TIEMPO_DISPARO;TIEMPO_PARADA_O_GOL
