Frame;Tiempo;ID_Luz;Estatus
45419;1.179.850;2;encendido
45504;12.200;2;tocado
45504;12.200;1;encendido
45571;21.503;1;tocado
45571;21.503;8;encendido
45690;38.074;8;tocado
45690;38.074;6;encendido
45782;50.835;6;tocado
45782;50.835;3;encendido
45888;65.584;3;tocado
45888;65.584;7;encendido
45967;76.545;7;tocado
45967;76.545;7;encendido
46051;88.193;7;tocado
46051;88.193;6;encendido
46110;96.388;6;tocado
46110;96.388;4;encendido
46178;105.834;4;tocado
46178;105.834;4;encendido
46228;112.787;4;tocado
46228;112.787;0;encendido
46282;120.279;0;tocado
46282;120.279;4;encendido
46347;129.333;4;tocado
46347;129.333;1;encendido
46398;136.389;1;tocado
46398;136.389;3;encendido
46468;146.155;3;tocado
46468;146.155;1;encendido
46525;154.045;1;tocado
46525;154.045;4;encendido
46570;160.291;4;tocado
46570;160.291;4;encendido
46622;167.501;4;tocado
46622;167.501;0;encendido
46681;175.706;0;tocado
46681;175.706;8;encendido
46800;192.234;8;tocado
46800;192.234;8;encendido
46899;205.972;8;tocado
46899;205.972;2;encendido
47023;223.191;2;tocado
47023;223.191;6;encendido
47108;235.026;6;tocado
47108;235.026;0;encendido
47191;246.550;0;tocado
47191;246.550;2;encendido
47275;258.224;2;tocado
47275;258.224;0;encendido
47362;270.303;0;tocado
47362;270.303;1;encendido
47407;276.545;1;tocado
47407;276.545;3;encendido
47505;290.162;3;tocado
47505;290.162;6;encendido
47575;299.866;6;tocado
47575;299.866;7;encendido
47623;306.553;7;tocado
47623;306.553;8;encendido
47675;313.758;8;tocado
47675;313.758;2;encendido
47756;325.010;2;tocado
47756;325.010;7;encendido
47829;335.150;7;tocado
47829;335.150;5;encendido
47895;344.301;5;tocado
47895;344.301;8;encendido
47959;353.176;8;tocado
47959;353.176;1;encendido
48030;363.061;1;tocado
48030;363.061;5;encendido
48084;370.556;5;tocado
48084;370.556;6;encendido
48168;382.234;6;tocado
48168;382.234;1;encendido
48234;391.405;1;tocado
48234;391.405;2;encendido
48282;398.064;2;tocado
48282;398.064;6;encendido
48366;409.758;6;tocado
48366;409.758;4;encendido
48439;419.887;4;tocado
48439;419.887;5;encendido
48503;428.775;5;tocado
48503;428.775;4;encendido
48547;434.868;4;tocado
48547;434.868;0;encendido
48607;443.195;0;tocado
48607;443.195;4;encendido
48678;453.067;4;tocado
48678;453.067;4;encendido
48722;459.191;4;tocado
48722;459.191;7;encendido
48771;465.984;7;tocado
48771;465.984;2;encendido
48893;482.957;2;tocado
48893;482.957;5;encendido
48946;490.274;5;tocado
48946;490.274;6;encendido
49011;499.313;6;tocado
49011;499.313;7;encendido
49056;505.589;7;tocado
49056;505.589;7;encendido
49111;513.188;7;tocado
49111;513.188;5;encendido
49179;522.647;5;tocado
49179;522.647;0;encendido
49254;533.068;0;tocado
49254;533.068;0;encendido
49314;541.419;0;tocado
49314;541.419;7;encendido
49389;551.805;7;tocado
49389;551.805;4;encendido
49435;558.208;4;tocado
49435;558.208;4;encendido
49480;564.443;4;tocado
49480;564.443;2;encendido
49603;581.534;2;tocado
49603;581.534;6;encendido
49684;592.778;6;tocado
49684;592.778;4;encendido
