Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;
45420;0.01386906;14.8108;1.4915;-0.0195;5.4690;267.9751;359.4899;True;True;0.2300;1.2015;-0.0307;325.0171;43.9498;10.7862;46.0053;240.2984;-6.1336;0.0000;True;True;-0.2422;1.2182;-0.0504;305.2971;304.6526;353.8478;-48.4374;243.6415;-10.0834;0.0000;
45422;0.07070203;14.8137;1.4914;-0.0186;5.3197;268.8552;359.8154;True;True;0.2306;1.2033;-0.0308;324.8852;44.1356;10.3609;0.0460;0.1658;-0.0214;0.0000;True;True;-0.2441;1.2187;-0.0522;305.3163;303.7188;354.9215;-0.2187;0.0451;-0.1043;0.0000;
45424;0.09997588;14.8148;1.4914;-0.0187;5.3497;269.0258;0.0534;True;True;0.2309;1.2050;-0.0310;324.5672;44.3585;10.1121;0.0148;0.1697;-0.0135;0.0000;True;True;-0.2466;1.2189;-0.0528;306.4518;302.6744;356.3636;-0.2526;-0.0046;-0.0340;0.0000;
45426;0.130804;14.8157;1.4912;-0.0189;5.5164;268.8942;0.1328;True;True;0.2310;1.2065;-0.0310;324.3209;44.3085;10.0708;0.0279;0.1421;0.0117;0.0000;True;True;-0.2482;1.2188;-0.0528;306.9554;302.1071;356.3954;-0.1365;-0.0240;0.0000;0.0000;
45428;0.1583805;14.8164;1.4906;-0.0193;5.8093;268.6422;0.1017;True;True;0.2315;1.2079;-0.0310;324.2029;44.5096;9.7767;0.0571;0.1377;-0.0074;0.0000;True;True;-0.2497;1.2188;-0.0528;307.0676;301.9186;356.0233;-0.1506;0.0125;0.0002;0.0000;
45430;0.1873678;14.8167;1.4898;-0.0198;6.2328;268.4029;0.0299;True;True;0.2317;1.2094;-0.0310;324.0863;44.9580;9.3415;0.0065;0.1509;-0.0019;0.0000;True;True;-0.2512;1.2193;-0.0533;307.3838;301.5623;356.5773;-0.1565;0.0601;-0.0566;0.0000;
45432;0.2160624;14.8170;1.4890;-0.0198;6.6818;268.2771;359.9656;True;True;0.2315;1.2106;-0.0309;323.8997;45.1647;9.0885;-0.0077;0.1112;0.0116;0.0000;True;True;-0.2525;1.2199;-0.0535;307.6309;300.8544;357.3427;-0.1026;0.0578;-0.0090;0.0000;
45434;0.2460808;14.8172;1.4885;-0.0195;6.8410;268.4724;0.0009;True;True;0.2314;1.2116;-0.0308;323.7517;45.1852;8.5991;-0.0175;0.0833;0.0245;0.0000;True;True;-0.2530;1.2203;-0.0535;307.3634;300.4731;357.1218;-0.0403;0.0453;-0.0110;0.0000;
45436;0.2725364;14.8172;1.4883;-0.0188;6.6541;269.0244;0.0454;True;True;0.2307;1.2124;-0.0302;323.6116;44.8455;8.6257;-0.0648;0.0773;0.0735;0.0000;True;True;-0.2532;1.2208;-0.0535;307.2813;300.4289;357.2589;-0.0009;0.0376;0.0026;0.0000;
45438;0.3011219;14.8169;1.4883;-0.0174;6.4351;270.0090;0.0271;True;True;0.2306;1.2128;-0.0297;323.4094;44.7808;8.8469;-0.0035;0.0255;0.0646;0.0000;True;True;-0.2540;1.2216;-0.0537;307.3563;299.7169;358.4585;-0.0798;0.0650;-0.0085;0.0000;
45440;0.3303969;14.8166;1.4887;-0.0149;6.0028;271.7325;0.1469;True;True;0.2310;1.2131;-0.0290;323.4138;44.8764;8.8356;0.0344;0.0437;0.0550;0.0000;True;True;-0.2541;1.2218;-0.0530;307.5452;299.3626;358.8228;0.0036;0.0062;0.0800;0.0000;
