Frame;Tiempo;ID_Luz;Estatus
1765;228.348;3;encendido
1816;0.9675;3;tocado
1816;0.9675;3;encendido
1891;20.105;3;tocado
1891;20.105;0;encendido
1961;29.868;0;tocado
1961;29.868;7;encendido
2041;40.962;7;tocado
2041;40.962;6;encendido
2099;49.035;6;tocado
2099;49.035;3;encendido
2165;58.193;3;tocado
2165;58.193;4;encendido
2201;63.192;4;tocado
2201;63.192;1;encendido
2246;69.462;1;tocado
2246;69.462;0;encendido
2319;79.582;0;tocado
2319;79.582;4;encendido
2378;87.790;4;tocado
2378;87.790;1;encendido
2422;93.895;1;tocado
2422;93.895;3;encendido
2477;101.532;3;tocado
2477;101.532;8;encendido
2564;113.606;8;tocado
2564;113.606;5;encendido
2645;124.874;5;tocado
2645;124.874;4;encendido
2682;129.999;4;tocado
2682;129.999;7;encendido
2727;136.288;7;tocado
2727;136.288;2;encendido
2800;146.395;2;tocado
2800;146.395;8;encendido
2891;159.046;8;tocado
2891;159.046;0;encendido
2956;168.065;0;tocado
2956;168.065;0;encendido
2968;169.720;0;tocado
2968;169.720;3;encendido
3060;182.503;3;tocado
3060;182.503;8;encendido
3143;194.027;8;tocado
3143;194.027;3;encendido
3205;202.671;3;tocado
3205;202.671;8;encendido
3284;213.612;8;tocado
3284;213.612;5;encendido
3327;219.601;5;tocado
3327;219.601;1;encendido
3374;226.104;1;tocado
3374;226.104;1;encendido
3459;237.936;1;tocado
3459;237.936;3;encendido
3506;244.457;3;tocado
3506;244.457;1;encendido
3564;252.518;1;tocado
3564;252.518;5;encendido
3634;262.231;5;tocado
3634;262.231;7;encendido
3684;269.169;7;tocado
3684;269.169;5;encendido
3736;276.396;5;tocado
3736;276.396;3;encendido
3788;283.634;3;tocado
3788;283.634;1;encendido
3840;290.842;1;tocado
3840;290.842;8;encendido
3906;300.003;8;tocado
3906;300.003;8;encendido
3981;310.419;8;tocado
3981;310.419;7;encendido
4026;316.674;7;tocado
4026;316.674;2;encendido
4088;325.305;2;tocado
4088;325.305;5;encendido
4130;331.121;5;tocado
4130;331.121;2;encendido
4175;337.368;2;tocado
4175;337.368;3;encendido
4242;346.693;3;tocado
4242;346.693;3;encendido
4306;355.554;3;tocado
4306;355.554;7;encendido
4373;364.867;7;tocado
4373;364.867;7;encendido
4445;374.877;7;tocado
4445;374.877;2;encendido
4515;384.587;2;tocado
4515;384.587;2;encendido
4581;393.749;2;tocado
4581;393.749;6;encendido
4654;403.907;6;tocado
4654;403.907;7;encendido
4697;409.880;7;tocado
4697;409.880;2;encendido
4758;418.336;2;tocado
4758;418.336;0;encendido
4829;428.185;0;tocado
4829;428.185;4;encendido
4882;435.560;4;tocado
4882;435.560;7;encendido
4930;442.237;7;tocado
4930;442.237;3;encendido
4991;450.698;3;tocado
4991;450.698;5;encendido
5056;459.721;5;tocado
5056;459.721;2;encendido
5102;466.101;2;tocado
5102;466.101;2;encendido
5182;477.229;2;tocado
5182;477.229;8;encendido
5303;494.030;8;tocado
5303;494.030;5;encendido
5345;499.877;5;tocado
5345;499.877;8;encendido
5394;506.697;8;tocado
5394;506.697;2;encendido
5456;515.279;2;tocado
5456;515.279;8;encendido
5511;522.907;8;tocado
5511;522.907;6;encendido
5605;535.978;6;tocado
5605;535.978;4;encendido
5670;544.996;4;tocado
5670;544.996;5;encendido
5730;553.320;5;tocado
5730;553.320;4;encendido
5768;558.596;4;tocado
5768;558.596;1;encendido
5816;565.292;1;tocado
5816;565.292;4;encendido
5864;571.950;4;tocado
5864;571.950;5;encendido
5902;577.221;5;tocado
5902;577.221;1;encendido
5949;583.764;1;tocado
5949;583.764;6;encendido
6032;595.304;6;tocado
6032;595.304;0;encendido
