Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;
2932;0;14.6740;1.5593;0.0426;14.4016;269.0814;355.8581;True;True;0.2283;1.1557;0.2201;354.9421;22.7348;4.3768;45.6504;231.1415;44.0260;0.0000;True;True;-0.1737;1.1961;0.2041;343.0972;328.8056;2.3404;-34.7401;239.2158;40.8103;0.0000;
2934;0.2580251;14.6446;1.5619;0.0043;13.3748;246.7110;350.5462;True;True;0.2264;1.1561;0.2256;354.6373;22.6012;4.5505;-0.0064;-0.0404;0.2384;0.0000;True;True;-0.1731;1.1921;0.2075;343.3551;329.5782;1.0487;-0.1367;-0.1107;0.1700;0.0000;
2936;0.2811952;14.6418;1.5640;0.0059;12.8601;247.8418;351.4270;True;True;0.2262;1.1554;0.2278;355.3990;22.8703;4.1815;-0.0795;-0.0844;0.2391;0.0000;True;True;-0.1743;1.1923;0.2089;344.1557;328.9487;1.3823;-0.1029;0.0897;0.1307;0.0000;
2938;0.3211493;14.6402;1.5657;0.0060;12.4493;248.5629;351.9782;True;True;0.2251;1.1557;0.2289;355.6507;22.5630;4.4844;-0.1262;0.0543;0.0882;0.0000;True;True;-0.1753;1.1938;0.2098;344.3412;329.0219;1.6249;-0.1059;0.2175;0.0582;0.0000;
2940;0.3527332;14.6391;1.5702;0.0049;10.9350;248.4894;352.6488;True;True;0.2240;1.1572;0.2296;355.4368;21.9863;5.1337;-0.0704;0.2306;0.0506;0.0000;True;True;-0.1758;1.1960;0.2105;343.7943;329.0071;1.7673;-0.0735;0.2540;0.1434;0.0000;
2942;0.3829245;14.6378;1.5780;0.0022;6.6996;247.0448;352.0795;True;True;0.2240;1.1589;0.2303;355.0201;21.9186;5.2015;0.0070;0.1382;0.0809;0.0000;True;True;-0.1772;1.1987;0.2118;342.8595;328.9132;1.3413;-0.1860;0.2034;0.1208;0.0000;
2944;0.4183339;14.6386;1.5834;0.0002;2.5565;245.2770;351.5792;True;True;0.2242;1.1599;0.2313;354.8853;21.8632;5.0729;0.0121;0.0962;0.1186;0.0000;True;True;-0.1798;1.1999;0.2133;342.8804;328.5122;2.2605;-0.2291;0.1113;0.1455;0.0000;
2946;0.4478782;14.6415;1.5868;-0.0023;359.4923;243.0766;351.3332;True;True;0.2242;1.1609;0.2334;354.7888;21.4165;4.7268;0.0066;0.0948;0.2405;0.0000;True;True;-0.1819;1.2014;0.2139;342.9238;328.0725;2.5810;-0.2088;0.1554;0.0365;0.0000;
2948;0.4768621;14.6442;1.5878;-0.0051;357.3346;240.5517;352.0204;True;True;0.2241;1.1621;0.2360;354.8139;20.9112;3.8861;-0.0221;0.1350;0.2753;0.0000;True;True;-0.1844;1.2025;0.2138;342.6070;327.6777;2.7361;-0.2594;0.1030;-0.0210;0.0000;
2950;0.5048572;14.6452;1.5888;-0.0071;356.1405;238.1581;353.6027;True;True;0.2241;1.1629;0.2390;354.0861;20.7763;3.5696;0.0061;0.0576;0.3060;0.0000;True;True;-0.1874;1.2026;0.2131;341.5288;326.9284;2.8679;-0.2885;-0.0377;-0.0707;0.0000;
2952;0.535605;14.6440;1.5901;-0.0078;355.7773;237.0784;354.4438;True;True;0.2249;1.1619;0.2423;353.5595;21.2900;3.5963;0.0935;-0.1569;0.3205;0.0000;True;True;-0.1909;1.1993;0.2134;341.9714;325.9777;3.4635;-0.3415;-0.4231;0.0369;0.0000;
2954;0.5619836;14.6401;1.5916;-0.0052;355.7112;238.7039;354.3929;True;True;0.2255;1.1588;0.2454;354.3019;21.8855;3.2038;0.0377;-0.3110;0.2974;0.0000;True;True;-0.1937;1.1933;0.2143;344.1071;325.1487;3.6220;-0.2283;-0.5698;0.0854;0.0000;
2956;0.5901147;14.6340;1.5940;0.0006;355.1391;243.4056;354.8127;True;True;0.2256;1.1566;0.2470;355.1438;22.2728;2.8361;0.0064;-0.2021;0.1200;0.0000;True;True;-0.1941;1.1886;0.2148;345.6183;324.9704;3.5493;0.0308;-0.4648;0.0673;0.0000;
2958;0.6192867;14.6267;1.5972;0.0089;354.4841;249.9798;355.2487;True;True;0.2254;1.1547;0.2471;355.4352;23.0293;3.0491;-0.0221;-0.1721;-0.0246;0.0000;True;True;-0.1927;1.1840;0.2162;346.2238;325.8523;3.2447;0.1724;-0.4650;0.1760;0.0000;
2960;0.6463529;14.6207;1.5988;0.0196;354.2814;257.7364;354.9444;True;True;0.2253;1.1533;0.2462;355.8336;23.7441;3.1469;-0.0151;-0.1506;-0.1036;0.0000;True;True;-0.1901;1.1799;0.2193;345.8611;327.6030;1.0434;0.2513;-0.3642;0.3423;0.0000;
2962;0.675928;14.6169;1.5990;0.0311;355.0706;265.8626;354.8387;True;True;0.2254;1.1521;0.2447;356.6320;23.6767;2.3753;0.0214;-0.1301;-0.1298;0.0000;True;True;-0.1882;1.1782;0.2226;345.3451;329.0168;358.9271;0.1558;-0.0940;0.3238;0.0000;
2964;0.7025251;14.6145;1.5976;0.0422;356.5004;273.2220;355.6481;True;True;0.2246;1.1509;0.2442;356.7459;23.4014;2.5044;-0.1464;-0.1211;-0.0279;0.0000;True;True;-0.1881;1.1794;0.2258;345.2052;329.3311;358.7704;-0.0365;0.2213;0.3130;0.0000;
2966;0.7318348;14.6134;1.5967;0.0509;358.2729;278.4492;356.4575;True;True;0.2239;1.1495;0.2444;356.5983;23.0274;3.4656;-0.0085;-0.1506;0.0332;0.0000;True;True;-0.1884;1.1818;0.2292;345.3918;328.9528;359.6807;-0.0021;0.2367;0.3499;0.0000;
2968;0.7602588;14.6126;1.5957;0.0595;359.7795;283.5648;356.0934;True;True;0.2254;1.1470;0.2452;356.9625;23.2326;4.2190;0.1652;-0.2482;0.0869;0.0000;True;True;-0.1876;1.1842;0.2331;345.8625;328.6754;0.3561;0.0997;0.2395;0.3789;0.0000;
2970;0.7866112;14.6122;1.5939;0.0697;1.0307;289.4895;356.4111;True;True;0.2269;1.1451;0.2457;357.9309;23.6142;4.0034;0.1078;-0.1643;0.0225;0.0000;True;True;-0.1856;1.1875;0.2365;345.8023;328.5411;0.4167;0.2080;0.3715;0.3141;0.0000;
2972;0.8163692;14.6127;1.5896;0.0790;2.6454;295.2334;357.0831;True;True;0.2273;1.1446;0.2456;358.5104;23.6902;3.6286;-0.0118;0.0159;-0.0246;0.0000;True;True;-0.1823;1.1916;0.2390;344.9671;328.9815;0.6807;0.3865;0.3856;0.2566;0.0000;
2974;0.840957;14.6141;1.5828;0.0870;4.5427;300.3124;357.5250;True;True;0.2271;1.1450;0.2450;357.3960;23.5943;4.4397;-0.0437;0.0371;-0.0792;0.0000;True;True;-0.1773;1.1954;0.2416;343.9209;330.0558;0.4037;0.5375;0.4142;0.2349;0.0000;
