Frame;Tiempo;ID_Luz;Estatus
21474;1.785.391;7;encendido
21515;0.5699;7;tocado
21515;0.5699;3;encendido
21584;15.283;3;tocado
21584;15.283;6;encendido
21636;22.506;6;tocado
21636;22.506;2;encendido
21698;31.126;2;tocado
21698;31.126;8;encendido
21761;39.865;8;tocado
21761;39.865;4;encendido
21806;46.113;4;tocado
21806;46.113;5;encendido
21855;52.907;5;tocado
21855;52.907;3;encendido
21897;58.747;3;tocado
21897;58.747;3;encendido
21902;59.447;3;tocado
21902;59.447;3;encendido
21938;64.438;3;tocado
21938;64.438;6;encendido
21986;71.137;6;tocado
21986;71.137;5;encendido
22042;78.891;5;tocado
22042;78.891;8;encendido
22141;92.655;8;tocado
22141;92.655;0;encendido
22207;101.822;0;tocado
22207;101.822;6;encendido
22273;110.974;6;tocado
22273;110.974;4;encendido
22317;117.076;4;tocado
22317;117.076;7;encendido
22371;124.585;7;tocado
22371;124.585;0;encendido
22429;132.655;0;tocado
22429;132.655;6;encendido
22512;144.173;6;tocado
22512;144.173;5;encendido
22591;155.142;5;tocado
22591;155.142;4;encendido
22641;162.100;4;tocado
22641;162.100;8;encendido
22751;177.376;8;tocado
22751;177.376;2;encendido
22800;184.190;2;tocado
22800;184.190;8;encendido
22867;193.626;8;tocado
22867;193.626;4;encendido
22912;199.851;4;tocado
22912;199.851;1;encendido
22952;205.428;1;tocado
22952;205.428;8;encendido
23017;214.458;8;tocado
23017;214.458;6;encendido
23115;228.049;6;tocado
23115;228.049;5;encendido
23174;236.245;5;tocado
23174;236.245;1;encendido
23230;244.035;1;tocado
23230;244.035;2;encendido
23297;253.326;2;tocado
23297;253.326;7;encendido
23364;262.655;7;tocado
23364;262.655;7;encendido
23401;267.767;7;tocado
23401;267.767;6;encendido
23449;274.445;6;tocado
23449;274.445;5;encendido
23512;283.219;5;tocado
23512;283.219;4;encendido
23564;290.429;4;tocado
23564;290.429;4;encendido
23591;294.159;4;tocado
23591;294.159;3;encendido
23631;299.729;3;tocado
23631;299.729;1;encendido
23680;306.543;1;tocado
23680;306.543;5;encendido
23740;314.868;5;tocado
23740;314.868;7;encendido
23798;322.911;7;tocado
23798;322.911;3;encendido
23901;337.237;3;tocado
23901;337.237;3;encendido
23919;339.716;3;tocado
23919;339.716;4;encendido
23947;343.632;4;tocado
23947;343.632;1;encendido
23985;348.876;1;tocado
23985;348.876;3;encendido
24065;360.020;3;tocado
24065;360.020;5;encendido
24139;370.258;5;tocado
24139;370.258;8;encendido
24191;377.493;8;tocado
24191;377.493;3;encendido
24250;385.685;3;tocado
24250;385.685;3;encendido
24289;391.128;3;tocado
24289;391.128;3;encendido
24324;396.006;3;tocado
24324;396.006;6;encendido
24378;403.476;6;tocado
24378;403.476;3;encendido
24480;417.642;3;tocado
24480;417.642;7;encendido
24520;423.213;7;tocado
24520;423.213;2;encendido
24589;432.786;2;tocado
24589;432.786;8;encendido
24676;444.874;8;tocado
24676;444.874;7;encendido
24726;451.819;7;tocado
24726;451.819;1;encendido
24785;460.006;1;tocado
24785;460.006;6;encendido
24880;473.209;6;tocado
24880;473.209;0;encendido
24952;483.203;0;tocado
24952;483.203;8;encendido
25022;492.926;8;tocado
25022;492.926;0;encendido
25089;502.224;0;tocado
25089;502.224;7;encendido
25153;511.128;7;tocado
25153;511.128;3;encendido
25235;522.527;3;tocado
25235;522.527;2;encendido
25361;540.006;2;tocado
25361;540.006;7;encendido
25419;548.063;7;tocado
25419;548.063;3;encendido
25478;556.254;3;tocado
25478;556.254;0;encendido
25515;561.406;0;tocado
25515;561.406;7;encendido
25583;570.834;7;tocado
25583;570.834;6;encendido
25632;577.650;6;tocado
25632;577.650;2;encendido
25703;587.489;2;tocado
25703;587.489;2;encendido
25748;593.765;2;tocado
25748;593.765;8;encendido
