Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;
19898;0;14.3687;1.4910;-0.0186;11.2674;268.6742;3.2249;True;True;0.3385;1.0347;0.4744;338.7072;62.0924;5.6745;67.7023;206.9420;94.8801;0.0000;True;True;-0.4746;1.1526;0.3970;338.0412;250.5183;10.0473;-94.9235;230.5188;79.4070;0.0000;
19900;0.02746844;14.3673;1.4901;-0.0147;11.2697;272.2471;3.7462;True;True;0.3394;1.0328;0.4730;338.8999;62.5196;5.6788;0.0967;-0.1843;-0.1610;0.0000;True;True;-0.4754;1.1514;0.4001;338.3776;250.4778;10.1831;-0.0911;-0.1237;0.3341;0.0000;
19902;0.05610979;14.3662;1.4894;-0.0101;11.2152;276.7937;4.3986;True;True;0.3405;1.0307;0.4708;339.1945;63.3630;5.4283;0.1151;-0.2251;-0.2382;0.0000;True;True;-0.4762;1.1503;0.4040;338.5858;250.7345;10.0410;-0.0772;-0.1061;0.3842;0.0000;
19904;0.08165718;14.3658;1.4883;-0.0055;11.2079;281.5277;5.0671;True;True;0.3418;1.0285;0.4684;339.3592;64.0069;5.5511;0.1241;-0.2154;-0.2437;0.0000;True;True;-0.4766;1.1495;0.4080;338.4531;251.0040;9.9097;-0.0231;-0.0717;0.3915;0.0000;
19906;0.1107461;14.3656;1.4871;-0.0021;11.2972;285.5745;5.5922;True;True;0.3431;1.0263;0.4655;339.4572;64.7134;5.6779;0.1366;-0.2096;-0.2918;0.0000;True;True;-0.4768;1.1486;0.4124;338.1593;251.1460;9.9526;-0.0349;-0.0913;0.4581;0.0000;
19908;0.1369946;14.3655;1.4858;0.0000;11.5550;288.4299;5.9725;True;True;0.3447;1.0244;0.4621;339.6298;65.3936;5.5269;0.1652;-0.1950;-0.3523;0.0000;True;True;-0.4771;1.1481;0.4168;337.8573;251.5610;9.8158;-0.0473;-0.0489;0.4379;0.0000;
19910;0.1666095;14.3652;1.4846;0.0014;11.6632;290.4728;6.2054;True;True;0.3464;1.0226;0.4586;339.7516;66.1508;5.4087;0.1800;-0.1687;-0.3465;0.0000;True;True;-0.4777;1.1477;0.4206;337.7619;251.7413;9.8081;-0.0647;-0.0387;0.3543;0.0000;
19912;0.1932388;14.3643;1.4841;0.0020;11.5800;291.8771;6.2809;True;True;0.3483;1.0208;0.4551;339.9191;66.8513;5.2973;0.1802;-0.1905;-0.3502;0.0000;True;True;-0.4782;1.1472;0.4244;337.7345;251.6801;9.9120;-0.0524;-0.0521;0.3941;0.0000;
19914;0.2215729;14.3632;1.4833;0.0019;11.6413;292.7726;6.2136;True;True;0.3504;1.0190;0.4518;340.0616;67.5111;5.3603;0.2164;-0.1733;-0.3420;0.0000;True;True;-0.4790;1.1467;0.4280;337.8322;251.8817;9.8362;-0.0781;-0.0561;0.3484;0.0000;
19916;0.2481348;14.3622;1.4820;0.0014;11.9807;293.4618;6.2071;True;True;0.3527;1.0170;0.4482;340.1400;68.2923;5.3194;0.2233;-0.2074;-0.3476;0.0000;True;True;-0.4798;1.1462;0.4312;338.2348;251.9631;9.9594;-0.0674;-0.0482;0.3139;0.0000;
