Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
2980;0.3188;14.4865;1.6348;0.0119;353.7514;264.8687;0.1349;True;True;14.2756;1.3459;0.2744;350.7151;314.2458;350.9010;557.6497;52.5743;10.7195;0.0000;True;True;14.3082;1.2946;-0.2543;16.0557;232.3565;38.9924;558.9227;50.5728;-9.9325;0.0000;1;En movimiento;6.3849;1.1861;-1.0150
2981;0.3444;14.4866;1.6348;0.0119;353.7294;264.8427;0.1391;True;True;14.2757;1.3456;0.2748;350.6979;314.2551;350.9787;0.0159;-0.0565;0.0697;0.0000;True;True;14.3078;1.2943;-0.2548;16.5446;232.8437;39.2520;-0.0677;-0.0624;-0.1076;0.0000;1;En movimiento;6.5131;1.1909;-1.0108
2982;0.3495;14.4867;1.6347;0.0119;353.7529;264.8549;0.1704;True;True;14.2762;1.3456;0.2756;350.6921;314.7038;350.6589;0.0917;-0.0057;0.1425;0.0000;True;True;14.3080;1.2946;-0.2552;16.6560;233.4065;39.4964;0.0228;0.0531;-0.0702;0.0000;1;En movimiento;6.5387;1.1892;-1.0100
2983;0.3555;14.4867;1.6348;0.0118;353.6800;264.8645;0.1792;True;True;14.2765;1.3453;0.2761;350.9051;315.0012;350.2285;0.0077;-0.0071;0.0138;0.0000;True;True;14.3085;1.2948;-0.2557;16.3445;233.3130;40.2617;0.0138;0.0038;-0.0114;0.0000;1;En movimiento;6.5689;1.1730;-1.0090
2984;0.3927;14.4868;1.6347;0.0117;353.6812;264.8499;0.2330;True;True;14.2765;1.3452;0.2762;351.0280;314.6478;350.0497;-0.0021;-0.0064;0.0024;0.0000;True;True;14.3088;1.2953;-0.2560;16.1954;232.8661;40.2358;0.0245;0.0350;-0.0231;0.0000;1;En movimiento;6.7549;1.1848;-1.0030
2985;0.4064;14.4867;1.6347;0.0117;353.7601;264.8242;0.2060;True;True;14.2764;1.3450;0.2764;351.1372;314.4603;350.0563;-0.0043;-0.0106;0.0167;0.0000;True;True;14.3091;1.2958;-0.2562;15.8107;232.3750;39.9829;0.0198;0.0370;-0.0175;0.0000;1;En movimiento;6.8239;1.1840;-1.0008
2986;0.4209;14.4866;1.6347;0.0118;353.7062;264.7656;0.1641;True;True;14.2764;1.3451;0.2764;351.0854;314.4436;350.1914;-0.0009;0.0008;0.0017;0.0000;True;True;14.3093;1.2962;-0.2565;15.3525;231.6961;39.5299;0.0131;0.0333;-0.0191;0.0000;1;En movimiento;6.8965;1.1892;-0.9984
2987;0.4344;14.4865;1.6348;0.0117;353.7111;264.6807;0.1969;True;True;14.2763;1.3449;0.2767;351.0070;314.5296;350.3545;-0.0053;-0.0131;0.0190;0.0000;True;True;14.3093;1.2968;-0.2567;15.0614;231.0941;38.8656;0.0017;0.0401;-0.0131;0.0000;1;En movimiento;6.9639;1.1832;-0.9962
2988;0.4483;14.4865;1.6349;0.0116;353.7245;264.6380;0.1832;True;True;14.2761;1.3445;0.2772;350.9160;314.6815;350.5972;-0.0129;-0.0267;0.0322;0.0000;True;True;14.3092;1.2973;-0.2568;14.6477;230.8928;38.1940;-0.0049;0.0356;-0.0098;0.0000;1;En movimiento;7.0334;1.1825;-0.9940
2989;0.4630;14.4864;1.6350;0.0114;353.7198;264.5904;0.1440;True;True;14.2760;1.3442;0.2774;350.9139;314.8135;350.7694;-0.0063;-0.0205;0.0148;0.0000;True;True;14.3089;1.2974;-0.2574;14.2828;230.9876;37.9491;-0.0190;0.0064;-0.0367;0.0000;1;En movimiento;7.1072;1.1818;-0.9916
