Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist;BallStatus;BallPosX;BallPosY;BallPosZ;
2886;0.3198;14.6514;1.5590;0.1718;353.0896;266.8021;1.0689;True;True;14.3937;1.2188;0.4008;341.9965;315.9846;345.6941;525.3281;44.4815;14.6279;0.0000;True;True;14.4377;1.3456;-0.0369;330.8212;190.0663;41.8159;526.9351;49.1099;-1.3459;0.0000;1;En movimiento;9.3435;1.1933;0.1376
2887;0.3472;14.6521;1.5593;0.1679;352.9958;266.7100;0.7956;True;True;14.3942;1.2169;0.3959;342.7148;315.7378;345.2619;0.0549;-0.1954;-0.5087;0.0000;True;True;14.4354;1.3460;-0.0392;329.6476;190.9879;41.1948;-0.2356;0.0386;-0.2456;0.0000;1;En movimiento;9.4902;1.1969;0.1508
2888;0.3568;14.6529;1.5598;0.1642;352.9554;266.7059;0.6080;True;True;14.3947;1.2152;0.3910;342.9693;315.3916;345.0396;0.0224;-0.0774;-0.2241;0.0000;True;True;14.4336;1.3464;-0.0418;328.1438;191.0426;40.8092;-0.0855;0.0190;-0.1162;0.0000;1;En movimiento;9.5417;1.1919;0.1555
2889;0.3786;14.6536;1.5606;0.1602;352.9596;266.7187;0.4174;True;True;14.3949;1.2132;0.3854;343.1907;315.2461;345.2166;0.0070;-0.0682;-0.1948;0.0000;True;True;14.4323;1.3470;-0.0450;326.7467;190.1889;40.0184;-0.0452;0.0218;-0.1130;0.0000;1;En movimiento;9.6583;1.1824;0.1660
2890;0.4076;14.6542;1.5614;0.1561;352.8826;266.7442;0.2096;True;True;14.3951;1.2114;0.3799;343.2750;315.2770;345.6012;0.0166;-0.1285;-0.3889;0.0000;True;True;14.4310;1.3477;-0.0487;325.7400;189.6182;39.1893;-0.0927;0.0529;-0.2567;0.0000;1;En movimiento;9.8136;1.1930;0.1800
2891;0.4217;14.6547;1.5624;0.1519;352.7310;266.7520;0.0053;True;True;14.3953;1.2094;0.3742;343.4422;315.4432;346.0108;0.0162;-0.1470;-0.4095;0.0000;True;True;14.4298;1.3485;-0.0529;325.0937;190.2256;38.1884;-0.0843;0.0576;-0.3100;0.0000;1;En movimiento;9.8888;1.1923;0.1868
2892;0.4355;14.6551;1.5631;0.1477;352.4681;266.7776;359.8772;True;True;14.3956;1.2072;0.3677;343.8587;315.6718;346.2808;0.0158;-0.1568;-0.4638;0.0000;True;True;14.4292;1.3494;-0.0579;325.0327;191.2102;37.2225;-0.0389;0.0626;-0.3495;0.0000;1;En movimiento;9.9630;1.1917;0.1936
2893;0.4497;14.6555;1.5635;0.1435;352.1657;266.8470;359.8259;True;True;14.3958;1.2051;0.3613;344.3389;315.6714;346.3678;0.0166;-0.1265;-0.3949;0.0000;True;True;14.4293;1.3502;-0.0634;325.6146;191.9948;36.8279;0.0023;0.0468;-0.3427;0.0000;1;En movimiento;10.0388;1.1911;0.2004
2894;0.4658;14.6559;1.5643;0.1391;352.0325;266.9334;359.8901;True;True;14.3962;1.2032;0.3547;344.9527;315.4456;346.3385;0.0215;-0.1165;-0.4062;0.0000;True;True;14.4300;1.3507;-0.0695;326.3446;192.6100;36.9264;0.0438;0.0328;-0.3699;0.0000;1;En movimiento;10.1253;1.1908;0.2082
2895;0.4821;14.6562;1.5646;0.1346;351.8210;266.9859;0.0059;True;True;14.3966;1.2012;0.3478;345.6293;314.9710;346.0872;0.0260;-0.1225;-0.4192;0.0000;True;True;14.4313;1.3513;-0.0758;326.6733;192.9179;37.2272;0.0780;0.0348;-0.3870;0.0000;1;En movimiento;10.2127;1.1904;0.2161
2896;0.4984;14.6565;1.5649;0.1301;351.6974;266.9800;0.0617;True;True;14.3972;1.1993;0.3410;346.1508;314.5710;345.9028;0.0367;-0.1207;-0.4381;0.0000;True;True;14.4326;1.3515;-0.0817;327.0567;192.3216;37.9873;0.0858;0.0168;-0.3813;0.0000;1;En movimiento;10.2997;1.1901;0.2240
2897;0.5141;14.6568;1.5649;0.1256;351.6106;266.9617;0.0791;True;True;14.3978;1.1976;0.3334;346.3422;314.3228;345.8852;0.0380;-0.1083;-0.4757;0.0000;True;True;14.4337;1.3520;-0.0874;327.1000;191.9359;38.3938;0.0681;0.0293;-0.3570;0.0000;1;En movimiento;10.3837;1.1795;0.2316
2898;0.5301;14.6569;1.5644;0.1211;351.5719;266.9517;0.0451;True;True;14.3982;1.1959;0.3256;346.1850;313.8900;346.1517;0.0291;-0.1123;-0.5142;0.0000;True;True;14.4346;1.3525;-0.0929;326.7457;191.4109;38.5248;0.0586;0.0295;-0.3622;0.0000;1;En movimiento;10.4692;1.1886;0.2393
2899;0.5451;14.6570;1.5638;0.1166;351.7434;267.0109;359.9145;True;True;14.3985;1.1944;0.3182;345.8536;313.3998;346.6710;0.0190;-0.1018;-0.5034;0.0000;True;True;14.4351;1.3529;-0.0981;326.3036;191.0727;38.3045;0.0376;0.0319;-0.3510;0.0000;1;En movimiento;10.5500;1.1881;0.2466
2900;0.5600;14.6571;1.5633;0.1122;352.0727;267.1129;359.6989;True;True;14.3988;1.1931;0.3110;345.3170;313.0710;347.3705;0.0180;-0.0892;-0.4784;0.0000;True;True;14.4354;1.3533;-0.1033;325.8068;190.9641;37.9347;0.0176;0.0259;-0.3474;0.0000;1;En movimiento;10.6293;1.1876;0.2538
2901;0.5750;14.6571;1.5630;0.1079;352.3745;267.2344;359.5048;True;True;14.3989;1.1917;0.3042;344.7930;312.9962;348.0494;0.0069;-0.0937;-0.4801;0.0000;True;True;14.4355;1.3536;-0.1084;325.4852;191.1116;37.5989;0.0042;0.0228;-0.3602;0.0000;1;En movimiento;10.7097;1.2002;0.2610
